gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,degree
ABAT,0.00964630225080386,0.0002631340794344807,0.3147773279352227,0.0018102405051829424,0.19696969696969696,12
ABCA13,0.006430868167202572,0.00014381180509745648,0.31662000509035376,0.0013789917033538083,0.2857142857142857,8
ABCA2,0.0040192926045016075,2.1592339099434346e-05,0.2939508506616257,0.0005901014489503582,0.6,5
ABCA7,0.00482315112540193,2.498535479874025e-05,0.33226495726495725,0.0026805110862647735,0.13333333333333333,6
ABCE1,0.02572347266881029,0.0011254546216774909,0.3714541654225142,0.013179746773548417,0.23790322580645162,32
ABL2,0.008038585209003215,0.00023786465955937674,0.3516110797060486,0.005635142921313265,0.13333333333333333,10
ACAP2,0.001607717041800643,6.071179817476733e-06,0.2826630311292888,0.0002761405211265052,0.0,2
ACE,0.02170418006430868,0.0017992136599664528,0.37617175687934684,0.01273129458785613,0.2535612535612536,27
ACHE,0.02009646302250804,0.0016594584877427944,0.369249035322054,0.01503241206424605,0.30666666666666664,25
ACTB,0.1752411575562701,0.05459982787582955,0.5024232633279483,0.14952767545341014,0.11030313279499429,218
ACTL6B,0.0297427652733119,0.0008427311004824972,0.393173198482933,0.035134028812117225,0.34534534534534533,37
ACTN4,0.023311897106109324,0.0033352117609694596,0.3894802755165936,0.014959847917196019,0.20689655172413793,29
ACY1,0.005627009646302251,4.321594867599423e-05,0.30490196078431375,0.0007501229598504928,0.5238095238095238,7
ADA,0.016881028938906754,0.0014714856759937944,0.3709004174120453,0.009131158792262783,0.1761904761904762,21
ADCY1,0.02090032154340836,0.0007842557221117637,0.3598495805611802,0.009109589157745136,0.28,26
ADCY3,0.01607717041800643,0.0019322889576477071,0.3532084043157297,0.0074542707403605695,0.3473684210526316,20
ADCY5,0.02491961414790997,0.0017504207498346708,0.3739104298166516,0.012441290587770111,0.26666666666666666,31
ADGRB1,0.008842443729903537,0.00015030320945295939,0.3490460157126824,0.00501001261078619,0.12727272727272726,11
ADGRL1,0.012057877813504822,0.00019421303037170582,0.3346785041700296,0.005052200710049285,0.18095238095238095,15
ADK,0.00964630225080386,0.00021862030915878052,0.31662000509035376,0.0010520028989605464,0.3181818181818182,12
ADNP,0.04340836012861736,0.0032324854495213067,0.4152202937249666,0.05306557398881316,0.27044025157232704,54
ADORA2A,0.018488745980707395,0.0009553236992202083,0.35912240184757505,0.009686164452915268,0.25296442687747034,23
ADORA3,0.00482315112540193,6.318128518686442e-05,0.3096067695370831,0.000944575736270709,0.2,6
ADRB2,0.03778135048231511,0.00234567824565571,0.40271932664292653,0.025215826887530712,0.2238667900092507,47
ADSL,0.017684887459807074,0.0021511923934177143,0.3523081280090626,0.005694897893393645,0.15151515151515152,22
ADSS2,0.008842443729903537,0.0002218523402987395,0.319138019497178,0.0015310741361213816,0.34545454545454546,11
AFF2,0.013665594855305467,0.00047331120792626846,0.365559800176315,0.01167125202683104,0.20588235294117646,17
AGAP1,0.001607717041800643,0.0,0.32336885885105277,0.002119177735263419,1.0,2
AGAP2,0.013665594855305467,0.00018734514537629098,0.3597455176402545,0.013169692212112682,0.4632352941176471,17
AGBL4,0.001607717041800643,0.001607717041800643,0.2681034482758621,0.000281831403771901,0.0,2
AGMO,0.0040192926045016075,0.0016635647030070783,0.30565110565110565,0.0009770421200806676,0.1,5
AGO1,0.04501607717041801,0.0017963629550756248,0.39910170035290343,0.05376976794135071,0.32987012987012987,56
AGO2,0.05868167202572347,0.006611851430719926,0.4307479224376731,0.06251532770725543,0.23515981735159816,73
AGO3,0.0297427652733119,0.0005970234462463553,0.3932975023711666,0.04643871219502985,0.5315315315315315,37
AGO4,0.03295819935691318,0.0007198168228822606,0.39655722027414725,0.05129251104075572,0.5097560975609756,41
AGTR2,0.017684887459807074,0.001462940863574049,0.3678296865759905,0.008132505295691234,0.12121212121212122,22
AHDC1,0.001607717041800643,4.119147515937518e-07,0.29990356798457085,0.0013867446411081285,0.0,2
AHI1,0.011254019292604502,0.0021749866662785994,0.36416861826697894,0.005474485426534818,0.15384615384615385,14
AHNAK,0.014469453376205787,0.0014441496907762164,0.3727899310758166,0.007632823009761227,0.0915032679738562,18
AKAP9,0.02090032154340836,0.0016629805166137742,0.38335901386748844,0.015535979600668026,0.19692307692307692,26
ALDH1A3,0.003215434083601286,0.0002635527015515763,0.343646408839779,0.0033877999672379134,0.16666666666666666,4
ALDH1L1,0.01045016077170418,0.0005870330736068816,0.3346785041700296,0.003318025517383571,0.1794871794871795,13
ALDH5A1,0.011254019292604502,0.002123982685002836,0.31832139201637666,0.002115148015128827,0.13186813186813187,14
ALG6,0.003215434083601286,9.825382259208989e-06,0.2609607719739878,8.846976145455532e-05,0.6666666666666666,4
AMPD1,0.01045016077170418,0.0003545597208573637,0.32823218997361475,0.0015588964208211762,0.24358974358974358,13
AMT,0.005627009646302251,0.00019371416849431092,0.3101470954874096,0.0011409016162883885,0.09523809523809523,7
ANK2,0.05546623794212219,0.006294238404759051,0.4238500851788756,0.03768398138196744,0.18414322250639387,69
ANK3,0.05787781350482315,0.005559434199171641,0.4231292517006803,0.038875252567311495,0.176056338028169,72
ANKRD11,0.028938906752411574,0.0011031087142778578,0.3765133171912833,0.029830436243013132,0.25396825396825395,36
ANKRD17,0.01045016077170418,8.845951342713039e-05,0.3291005291005291,0.0052456566274999995,0.3076923076923077,13
ANKS1B,0.01045016077170418,0.0005137816409689606,0.3480693900391718,0.007700187898486107,0.3076923076923077,13
ANP32A,0.008842443729903537,5.9534302810137685e-05,0.3606842563061757,0.009362540683940246,0.41818181818181815,11
ANXA1,0.018488745980707395,0.0011560201183358676,0.3838321505708115,0.012305281390311836,0.16600790513833993,23
AP1S2,0.014469453376205787,0.0012553431867387062,0.3324425440940673,0.0033192823837002467,0.30718954248366015,18
AP2M1,0.028938906752411574,0.006212693443944275,0.38972431077694236,0.016685284632884805,0.23174603174603176,36
AP2S1,0.02009646302250804,0.002088338276197175,0.35922610453364134,0.010067108770114078,0.34,25
APBA2,0.01527331189710611,0.0005677727031764624,0.3681562592482983,0.010281390889358888,0.2222222222222222,19
APBB1,0.017684887459807074,0.0017435801007156851,0.38359543632439097,0.016471471102163678,0.21212121212121213,22
APH1A,0.008038585209003215,6.200418996075445e-05,0.347972027972028,0.0056301319130530325,0.26666666666666666,10
AR,0.06591639871382636,0.006032914829320769,0.43572679509632223,0.0804318946201254,0.22583559168925021,82
ARF3,0.017684887459807074,0.0007261270005965023,0.3606842563061757,0.006398162381842036,0.1471861471861472,22
ARHGAP11B,0.003215434083601286,2.9774833017083284e-05,0.2759538598047915,0.00018761679069091255,0.6666666666666666,4
ARHGAP30,0.005627009646302251,5.754869940194119e-05,0.33006102414433536,0.002657021309876454,0.2857142857142857,7
ARHGAP32,0.01527331189710611,0.0003136008596378536,0.3907035175879397,0.016771300616450786,0.3157894736842105,19
ARHGAP5,0.005627009646302251,7.258357211575973e-05,0.32395833333333335,0.002015599329057734,0.23809523809523808,7
ARHGEF10,0.0040192926045016075,0.00010988148633400604,0.32429614181439,0.0018978568615304152,0.2,5
ARHGEF2,0.013665594855305467,0.0008007313663529855,0.3717872086072923,0.00952478949077182,0.25,17
ARHGEF9,0.028135048231511254,0.0006079515532875669,0.3762855414398064,0.019486807827902138,0.34285714285714286,35
ARID1A,0.0635048231511254,0.0034395761334302336,0.4286698828394211,0.0859726947926455,0.3141837065887699,79
ARID1B,0.04581993569131833,0.0009210551274500191,0.41787033926771916,0.06812222557376507,0.38721804511278196,57
ARID2,0.03617363344051447,0.0011589298671706226,0.4006441223832528,0.05309673457074478,0.4121212121212121,45
ARNT2,0.003215434083601286,2.169842702169066e-05,0.3344985211078247,0.0036499302754399083,0.3333333333333333,4
ARX,0.01045016077170418,3.3824413001031405e-05,0.3550228310502283,0.009005359713041021,0.717948717948718,13
ASAP2,0.001607717041800643,6.78100388055625e-05,0.29846449136276393,0.0006475104606194264,0.0,2
ASB11,0.003215434083601286,0.00010505065888903881,0.3012836037781545,0.0007288546163994724,0.16666666666666666,4
ASB14,0.001607717041800643,0.0,0.2776166034367329,0.00025729230825280214,1.0,2
ASB9,0.001607717041800643,2.2563340806653224e-05,0.2773690078037904,0.00030074275475741,0.0,2
ASH1L,0.05385852090032154,0.0028468649160932943,0.4011609158336021,0.0664660884699399,0.3147896879240163,67
ASMT,0.007234726688102894,0.00019789960288298398,0.3110777694423606,0.001492483480568023,0.3055555555555556,9
ASPM,0.017684887459807074,0.00257205150124602,0.3606842563061757,0.006078359198139297,0.11255411255411256,22
ASTN1,0.005627009646302251,0.00016312734807016286,0.32303297844715656,0.00272974434273139,0.047619047619047616,7
ASTN2,0.02090032154340836,0.0004844638521167089,0.36837429671305894,0.014159523643326868,0.4707692307692308,26
ASXL3,0.02090032154340836,0.0005814195384437002,0.3773127085228996,0.022485441041882062,0.3446153846153846,26
ATP10A,0.008038585209003215,2.4757852243211105e-05,0.3344985211078247,0.0032273410302599576,0.6666666666666666,10
