gene,ic_T1,ic_T2,ic_T3,ic_T4,ic_T5
ABAT,0.0028755020080321286,0.009477911646586346,0.061670682730923694,0.26185542168674697,0.5336385542168675
ABCA13,0.002008032128514056,0.007116465863453815,0.05046586345381526,0.2536626506024096,0.48379116465863453
ABCA2,0.001678714859437751,0.004096385542168675,0.02078714859437751,0.1185863453815261,0.3212771084337349
ABCA7,0.0017269076305220883,0.008907630522088353,0.08125301204819277,0.28026506024096387,0.5602008032128514
ABCE1,0.006329317269076306,0.042674698795180724,0.22887550200803214,0.5888273092369478,0.784995983935743
ABL2,0.002281124497991968,0.018899598393574298,0.10654618473895583,0.4077831325301205,0.6825381526104418
ACAP2,0.0011485943775100401,0.002216867469879518,0.012048192771084338,0.04811244979919679,0.18951004016064257
ACE,0.005116465863453815,0.039437751004016065,0.2407309236947791,0.6230763052208835,0.7859437751004016
ACHE,0.004746987951807229,0.04913253012048193,0.27959839357429717,0.6241847389558233,0.7947228915662651
ACTB,0.035341365461847386,0.2681526104417671,0.6611807228915663,0.8015502008032128,0.8248433734939759
ACTL6B,0.006714859437751004,0.06539759036144578,0.34639357429718876,0.6711726907630522,0.8043775100401607
ACTN4,0.005445783132530121,0.04687550200803213,0.27234538152610444,0.6497510040160642,0.7968433734939759
ACY1,0.0019277108433734939,0.005767068273092369,0.03384738955823293,0.14395180722891565,0.45626506024096386
ADA,0.004377510040160642,0.03184738955823293,0.20635341365461848,0.5223534136546185,0.747718875502008
ADCY1,0.004819277108433735,0.03501204819277109,0.20734939759036145,0.5561847389558233,0.7665943775100401
ADCY3,0.004056224899598394,0.026706827309236948,0.1786987951807229,0.5158955823293173,0.7198875502008032
ADCY5,0.005855421686746988,0.04258634538152611,0.252714859437751,0.6272048192771085,0.7804497991967871
ADGRB1,0.0023775100401606424,0.020329317269076306,0.13362248995983936,0.46569477911646584,0.6589718875502008
ADGRL1,0.0034216867469879517,0.020859437751004017,0.12524497991967873,0.43210441767068275,0.669437751004016
ADK,0.0028353413654618473,0.007534136546184739,0.03914859437751004,0.23363052208835342,0.5208433734939759
ADNP,0.009325301204819277,0.1051004016064257,0.4303132530120482,0.7329718875502008,0.8119518072289157
ADORA2A,0.00442570281124498,0.03416867469879518,0.20963855421686747,0.5519598393574298,0.7676385542168674
ADORA3,0.0017590361445783134,0.006497991967871486,0.030112449799196788,0.20375100401606425,0.4307309236947791
ADRB2,0.008353413654618475,0.07385542168674698,0.3708835341365462,0.7088674698795181,0.8084417670682731
ADSL,0.004273092369477912,0.021261044176706826,0.11643373493975903,0.4593815261044177,0.712562248995984
ADSS2,0.0024738955823293174,0.008594377510040161,0.05742168674698795,0.2592369477911647,0.5543775100401607
AFF2,0.0034457831325301206,0.0285140562248996,0.21324497991967872,0.599574297188755,0.7430281124497992
AGAP1,0.0011164658634538153,0.006200803212851405,0.06404819277108434,0.17575100401606425,0.27600803212851405
AGAP2,0.003502008032128514,0.036907630522088355,0.2348835341365462,0.6166024096385542,0.7806184738955824
AGBL4,0.0011967871485943774,0.00193574297188755,0.009742971887550201,0.049502008032128515,0.11383935742971887
AGMO,0.00163855421686747,0.004746987951807229,0.038032128514056227,0.13333333333333333,0.33665060240963857
AGO1,0.009188755020080321,0.09076305220883533,0.39872289156626506,0.7087951807228916,0.8121606425702811
AGO2,0.012674698795180723,0.1303855421686747,0.4959759036144578,0.7501606425702811,0.817429718875502
AGO3,0.0068192771084337345,0.0841285140562249,0.3912128514056225,0.7056787148594378,0.8057590361445783
AGO4,0.007526104417670682,0.08880321285140562,0.4022248995983936,0.7127469879518072,0.8099196787148595
AGTR2,0.004401606425702811,0.02710843373493976,0.19637751004016063,0.532859437751004,0.7480722891566265
AHDC1,0.0010763052208835342,0.003887550200803213,0.03220883534136546,0.11288353413654618,0.2688433734939759
AHI1,0.002931726907630522,0.01770281124497992,0.14297991967871487,0.4230120481927711,0.6627389558232931
AHNAK,0.0034056224899598393,0.025606425702811245,0.17359036144578313,0.5376867469879518,0.7554457831325301
AKAP9,0.004690763052208835,0.04004819277108434,0.28322088353413655,0.6520080321285141,0.8024417670682731
ALDH1A3,0.0015261044176706827,0.009879518072289156,0.08563052208835341,0.2177429718875502,0.3756867469879518
ALDH1L1,0.0028835341365461846,0.016779116465863452,0.09030522088353414,0.3343132530120482,0.6110522088353414
ALDH5A1,0.003004016064257028,0.01193574297188755,0.06722088353413655,0.28710843373493977,0.5983935742971888
ALG6,0.0015261044176706827,0.002144578313253012,0.005847389558232932,0.024112449799196786,0.1293574297188755
AMPD1,0.002891566265060241,0.009751004016064256,0.07089156626506024,0.28044979919678714,0.5497991967871486
AMT,0.0020963855421686746,0.0061445783132530124,0.04391164658634538,0.16040963855421686,0.3848433734939759
ANK2,0.012056224899598393,0.10771887550200804,0.44897991967871487,0.7337991967871486,0.8169638554216867
ANK3,0.012433734939759036,0.10914859437751004,0.4496385542168675,0.7410522088353414,0.8154779116465863
ANKRD11,0.006570281124497992,0.05875502008032128,0.3048433734939759,0.6373012048192771,0.7996385542168675
ANKRD17,0.003036144578313253,0.017566265060240963,0.11556626506024097,0.3861124497991968,0.6648674698795181
ANKS1B,0.002923694779116466,0.021461847389558232,0.16930923694779115,0.4963855421686747,0.6754538152610442
ANP32A,0.0026265060240963857,0.023951807228915663,0.18283534136546184,0.49384738955823293,0.7111726907630522
ANXA1,0.0045943775100401605,0.037614457831325304,0.25383132530120484,0.6230923694779117,0.7682730923694779
AP1S2,0.003686746987951807,0.016281124497991968,0.09767068273092369,0.3824738955823293,0.6818152610441767
AP2M1,0.00665863453815261,0.05690763052208835,0.30043373493975906,0.6503614457831325,0.8006024096385542
AP2S1,0.00508433734939759,0.034160642570281126,0.2143694779116466,0.5731887550200804,0.7804738955823293
APBA2,0.003783132530120482,0.03427309236947791,0.2063132530120482,0.5617911646586345,0.7670361445783133
APBB1,0.004248995983935743,0.042457831325301204,0.25139759036144577,0.6267871485943776,0.793437751004016
APH1A,0.0025220883534136547,0.0161285140562249,0.12009638554216867,0.46840160642570283,0.6435341365461847
AR,0.013614457831325302,0.14286746987951807,0.5235100401606426,0.762144578313253,0.8192208835341366
ARF3,0.004265060240963856,0.02465863453815261,0.1598393574297189,0.5611164658634538,0.7662409638554217
ARHGAP11B,0.0014136546184738957,0.002273092369477912,0.005879518072289157,0.05240160642570281,0.16933333333333334
ARHGAP30,0.0019277108433734939,0.012658634538152611,0.07437751004016065,0.3198714859437751,0.5384899598393574
ARHGAP32,0.003686746987951807,0.049076305220883534,0.28647389558232933,0.6436626506024097,0.7949558232931727
ARHGAP5,0.00193574297188755,0.009373493975903615,0.06288353413654618,0.2537028112449799,0.5461847389558233
ARHGEF10,0.001534136546184739,0.007004016064257028,0.05808835341365462,0.24545381526104418,0.4106265060240964
ARHGEF2,0.003823293172690763,0.029815261044176707,0.19053815261044177,0.5590522088353413,0.7485140562248996
ARHGEF9,0.006337349397590362,0.05467469879518072,0.3007871485943775,0.6414457831325301,0.7963453815261045
ARID1A,0.013807228915662651,0.13622489959839357,0.48449799196787147,0.7539116465863454,0.8168273092369478
ARID1B,0.01029718875502008,0.11617670682730924,0.45643373493975903,0.7409638554216867,0.8145461847389558
ARID2,0.008273092369477911,0.09186345381526105,0.3930281124497992,0.7153493975903614,0.8097751004016064
ARNT2,0.0013975903614457832,0.009710843373493976,0.06739759036144578,0.23454618473895583,0.35092369477911645
ARX,0.002971887550200803,0.029236947791164657,0.1857590361445783,0.5288915662650603,0.7280481927710843
ASAP2,0.0011164658634538153,0.0030441767068273094,0.01878714859437751,0.09291566265060242,0.2536546184738956
ASB11,0.0013975903614457832,0.004248995983935743,0.02997590361445783,0.1382730923694779,0.2878955823293173
ASB14,0.0010281124497991969,0.0017751004016064258,0.009590361445783133,0.06635341365461847,0.11499598393574297
ASB9,0.0010281124497991969,0.0027389558232931727,0.009823293172690763,0.08308433734939759,0.1942409638554217
ASH1L,0.011823293172690763,0.10475502008032128,0.41010441767068273,0.7103775100401607,0.8106425702811245
ASMT,0.0022891566265060242,0.007951807228915662,0.050634538152610445,0.23183935742971887,0.5093012048192771
ASPM,0.0043453815261044176,0.021686746987951807,0.15857831325301205,0.46760642570281125,0.7376385542168674
ASTN1,0.0018313253012048193,0.010120481927710843,0.07089959839357429,0.33151807228915664,0.5473734939759036
ASTN2,0.004867469879518072,0.03927710843373494,0.24012048192771085,0.6276706827309237,0.7792208835341365
ASXL3,0.0050200803212851405,0.04808835341365462,0.296570281124498,0.6355823293172691,0.7948032128514056
ATP10A,0.0021767068273092368,0.011927710843373494,0.0943855421686747,0.352995983935743,0.5986746987951808
ATP1A1,0.003253012048192771,0.028538152610441767,0.18661044176706829,0.4355341365461847,0.7066907630522088
ATP1A3,0.004562248995983936,0.04306827309236948,0.2577590361445783,0.5933975903614458,0.7793493975903615
ATP2B1,0.003493975903614458,0.029293172690763054,0.18742168674698795,0.527574297188755,0.7486265060240964
ATP2B2,0.006891566265060241,0.06444176706827309,0.3031244979919679,0.6650441767068274,0.8037269076305221
ATP6V0A2,0.001285140562248996,0.0033654618473895584,0.027823293172690763,0.10326104417670683,0.2589236947791165
ATP9A,0.0012048192771084338,0.0020160642570281125,0.005196787148594378,0.028473895582329316,0.1285140562248996
ATRX,0.016168674698795182,0.15371084337349397,0.5183052208835341,0.759285140562249,0.8199839357429719
ATXN2,0.005847389558232932,0.04459437751004016,0.28496385542168673,0.6571646586345381,0.796136546184739
AUTS2,0.007124497991967871,0.06753413654618474,0.36086746987951807,0.689004016064257,0.8067389558232931
AVPR1A,0.0027469879518072287,0.020144578313253014,0.1326987951807229,0.48822489959839355,0.6908915662650602
AVPR1B,0.0024497991967871485,0.015991967871485945,0.11322088353413655,0.3813413654618474,0.5906184738955823
AZGP1,0.0019598393574297187,0.0054779116465863455,0.034184738955823295,0.2040562248995984,0.4137831325301205
BACE1,0.0059196787148594375,0.06978313253012049,0.3506506024096386,0.7076626506024096,0.8077590361445783
BAIAP2L1,0.00321285140562249,0.030208835341365464,0.20502008032128513,0.5302570281124498,0.7401686746987952
BAZ2B,0.00248995983935743,0.01991967871485944,0.13173493975903613,0.3829879518072289,0.6436947791164659
BBS4,0.0029558232931726908,0.01297991967871486,0.09062650602409639,0.34593574297188756,0.6307550200803212
BCAS1,0.0012690763052208836,0.0067951807228915665,0.05667469879518072,0.15874698795180722,0.32396787148594375
BCKDK,0.0026907630522088354,0.0183855421686747,0.11931726907630522,0.4283935742971888,0.6466666666666666
BCL11A,0.006176706827309237,0.060032128514056225,0.3229076305220884,0.6701526104417671,0.7973574297188755
BCL11B,0.009220883534136547,0.0841285140562249,0.38973493975903617,0.7156706827309237,0.8115903614457831
BCORL1,0.0039196787148594375,0.03966265060240964,0.2576465863453815,0.6302489959839357,0.7854056224899598
BICDL1,0.0013172690763052209,0.008538152610441767,0.06359839357429718,0.14850602409638555,0.3595020080321285
BICRA,0.002923694779116466,0.03123694779116466,0.21687550200803213,0.5055983935742971,0.7302650602409638
BIRC6,0.006257028112449799,0.0531004016064257,0.2710441767068273,0.6335100401606426,0.793847389558233
BPTF,0.009606425702811245,0.08842570281124498,0.36943775100401605,0.6920160642570281,0.8063373493975904
BRAF,0.017373493975903615,0.1572449799196787,0.5424979919678715,0.7702329317269077,0.8206265060240964
BRCA2,0.009975903614457831,0.10416064257028113,0.44899598393574297,0.7366907630522088,0.8145301204819277
BRD4,0.024329317269076306,0.1936706827309237,0.545991967871486,0.7682570281124498,0.8205060240963855
BRINP3,0.0013092369477911646,0.003381526104417671,0.015357429718875501,0.0952128514056225,0.28529317269076304
BRSK2,0.0019116465863453815,0.010931726907630522,0.0760722891566265,0.3647469879518072,0.5400562248995984
BRWD3,0.002706827309236948,0.022160642570281126,0.1491726907630522,0.4444016064257028,0.7095903614457831
BSN,0.004875502008032128,0.049526104417670684,0.2605381526104418,0.6216626506024097,0.7871325301204819
BST1,0.0030763052208835342,0.011100401606425702,0.06723694779116465,0.31167871485943777,0.5768755020080322
BTAF1,0.004289156626506024,0.03617670682730924,0.20704417670682732,0.5161927710843374,0.7475261044176706
BTRC,0.010096385542168674,0.09355823293172691,0.4302570281124498,0.7271164658634538,0.8115983935742972
C12orf57,0.0016224899598393575,0.005164658634538153,0.025004016064257027,0.15285943775100402,0.3246425702811245
C15orf62,0.0009317269076305221,0.0014538152610441767,0.006859437751004016,0.027381526104417672,0.07636144578313253
C4B,0.0020160642570281125,0.008120481927710843,0.05579116465863454,0.26050602409638557,0.531277108433735
CA6,0.0009156626506024096,0.0012610441767068273,0.0017349397590361445,0.008369477911646587,0.03008835341365462
CACNA1A,0.011036144578313253,0.09309236947791165,0.37228112449799194,0.7078313253012049,0.8091726907630522
CACNA1B,0.00914859437751004,0.08364658634538152,0.332,0.6791244979919678,0.8031726907630522
CACNA1C,0.015357429718875501,0.12295582329317269,0.4622730923694779,0.7445542168674699,0.8172369477911646
CACNA1D,0.010706827309236947,0.08408032128514056,0.34797590361445785,0.6940562248995984,0.8045381526104418
CACNA1E,0.005341365461847389,0.0423855421686747,0.21276305220883535,0.5556947791164658,0.780273092369478
CACNA1F,0.00751004016064257,0.05708433734939759,0.29649799196787147,0.638128514056225,0.796425702811245
CACNA1G,0.007911646586345382,0.05720481927710843,0.2681606425702811,0.625429718875502,0.7926827309236948
CACNA1H,0.008080321285140562,0.05733333333333333,0.27122088353413654,0.6155983935742972,0.7888112449799197
CACNA1I,0.0061285140562249,0.043365461847389555,0.22048995983935743,0.5867228915662651,0.7789718875502007
CACNA2D1,0.007606425702811245,0.0569718875502008,0.29281124497991967,0.6608353413654618,0.8008995983935743
CACNA2D3,0.005068273092369478,0.04117269076305221,0.2290281124497992,0.580425702811245,0.775574297188755
CACNB1,0.005678714859437751,0.046,0.26123694779116463,0.61085140562249,0.794008032128514
CACNB2,0.007863453815261044,0.06372690763052209,0.3090441767068273,0.6416626506024097,0.7977349397590362
CACNG2,0.009100401606425702,0.08178313253012048,0.3373975903614458,0.6888995983935743,0.8054698795180723
CADM1,0.0045863453815261045,0.04593574297188755,0.2745381526104418,0.6153734939759036,0.7928353413654619
CADM2,0.002008032128514056,0.015244979919678716,0.09121285140562249,0.3075983935742972,0.5102168674698795
CADPS,0.0033333333333333335,0.023726907630522088,0.15608835341365462,0.467285140562249,0.7285220883534137
CADPS2,0.0019839357429718876,0.013614457831325302,0.10559036144578313,0.3264738955823293,0.623429718875502
CAMK2A,0.01714859437751004,0.148570281124498,0.5161044176706827,0.7644979919678715,0.8214056224899599
CAMK2B,0.010024096385542169,0.10500401606425702,0.43470682730923693,0.731710843373494,0.8137269076305221
CAMK2D,0.005742971887550201,0.062112449799196785,0.34490763052208834,0.6772771084337349,0.8047068273092369
CAMK4,0.005815261044176707,0.0685140562248996,0.3559678714859438,0.6937429718875502,0.8051244979919678
CAMTA2,0.0015100401606425702,0.008522088353413655,0.08850602409638554,0.2770602409638554,0.42898795180722893
CAPN12,0.0010923694779116466,0.002240963855421687,0.01170281124497992,0.06389558232931727,0.11111646586345382
CAPRIN1,0.004441767068273092,0.034192771084337346,0.2124016064257028,0.5651807228915663,0.7662168674698795
CAPZA2,0.0037429718875502008,0.026281124497991967,0.17579116465863454,0.5477991967871486,0.7526265060240964
CARD11,0.0029156626506024095,0.030674698795180724,0.1677991967871486,0.45428915662650604,0.670289156626506
CASK,0.009823293172690763,0.08297991967871486,0.36176706827309235,0.7000562248995984,0.8074698795180723
CASKIN1,0.002963855421686747,0.032,0.1783132530120482,0.49012048192771085,0.7180803212851405
CASZ1,0.0016465863453815261,0.00655421686746988,0.058,0.2233975903614458,0.4549718875502008
CAT,0.002032128514056225,0.005518072289156626,0.03246586345381526,0.18028112449799197,0.35453815261044175
CBX1,0.007502008032128514,0.07305220883534136,0.3253574297188755,0.6724979919678715,0.8000642570281125
CBX4,0.006497991967871486,0.06380722891566265,0.31301204819277106,0.6557991967871486,0.7963052208835342
CC2D1A,0.0014056224899598394,0.0017991967871485944,0.004208835341365462,0.0241285140562249,0.07756626506024096
CCDC88C,0.0014939759036144578,0.00465863453815261,0.024971887550200803,0.14788755020080321,0.32672289156626505
CCDC91,0.0009799196787148594,0.001606425702811245,0.013301204819277108,0.06968674698795181,0.11789558232931727
CCIN,0.0012610441767068273,0.0015823293172690764,0.001975903614457831,0.004642570281124498,0.012891566265060241
CCNG1,0.0022650602409638554,0.02060240963855422,0.14058634538152612,0.47248995983935743,0.6459839357429719
CCNK,0.004240963855421687,0.03180722891566265,0.17487550200803212,0.4876305220883534,0.745710843373494
CCSER1,0.0013975903614457832,0.004706827309236948,0.025646586345381524,0.14746987951807228,0.3346265060240964
CCT4,0.006353413654618474,0.05192771084337349,0.31147791164658634,0.6390763052208835,0.7993333333333333
CD276,0.0022329317269076305,0.011726907630522088,0.08737349397590362,0.3134859437751004,0.6063373493975903
CD38,0.00442570281124498,0.035799196787148595,0.21829718875502008,0.5802730923694779,0.781566265060241
CD99L2,0.0016626506024096386,0.010955823293172691,0.08991164658634539,0.29092369477911645,0.526867469879518
CDC42BPA,0.0018795180722891566,0.007502008032128514,0.05331726907630522,0.2556224899598394,0.4601044176706827
CDC42BPB,0.0020883534136546186,0.017759036144578313,0.11910843373493976,0.37991967871485943,0.5721204819277108
CDH10,0.006506024096385542,0.05399196787148594,0.2917590361445783,0.6491646586345382,0.7979196787148595
CDH11,0.003469879518072289,0.023815261044176708,0.13804819277108435,0.4910441767068273,0.7330522088353414
CDH13,0.0038473895582329318,0.028714859437751004,0.1756867469879518,0.49254618473895584,0.7275823293172691
CDH2,0.010939759036144579,0.11624096385542168,0.4773895582329317,0.748425702811245,0.8190843373493976
CDH22,0.002393574297188755,0.01604016064257028,0.11636947791164659,0.3305301204819277,0.6173895582329317
CDH8,0.003943775100401606,0.029863453815261044,0.20783132530120482,0.5357831325301204,0.7585783132530121
CDH9,0.006281124497991968,0.048393574297188754,0.27989558232931727,0.6280240963855421,0.7969638554216868
CDK13,0.004184738955823293,0.03815261044176707,0.21304417670682732,0.5395100401606425,0.7504096385542168
CDK16,0.002273092369477912,0.013156626506024097,0.11655421686746988,0.3490441767068273,0.5580401606425702
CDK19,0.00357429718875502,0.03198393574297189,0.1884417670682731,0.5388353413654619,0.7365622489959839
CDK5RAP2,0.002385542168674699,0.00616867469879518,0.049036144578313255,0.1956465863453815,0.4836706827309237
CDK8,0.00563855421686747,0.05918875502008032,0.31656224899598395,0.6516947791164659,0.7861526104417671
CDKL5,0.010208835341365461,0.09839357429718876,0.42653012048192773,0.7274538152610441,0.8137349397590361
CDON,0.002112449799196787,0.016136546184738955,0.13269076305220884,0.42369477911646586,0.5919357429718876
CECR2,0.004,0.03580722891566265,0.1966827309236948,0.5448755020080321,0.755140562248996
CELF2,0.0032610441767068274,0.02048995983935743,0.13054618473895582,0.465429718875502,0.6964979919678714
