gene,sfari_symbols,sfari_score,eagle,syndromic,n_reports
ABAT,ABAT,2.0,,0,9
ABCA13,ABCA13,2.0,,0,16
ABCA2,ABCA2,3.0,,0,8
ABCA7,ABCA7,2.0,,0,8
ABCE1,ABCE1,1.0,1.4,0,5
ABL2,ABL2,3.0,,0,11
ACAP2,ACAP2,2.0,,0,5
ACE,ACE,2.0,,0,7
ACHE,ACHE,2.0,,0,8
ACTB,ACTB,1.0,1.0,1,13
ACTL6B,ACTL6B,,,1,16
ACTN4,ACTN4,2.0,,0,7
ACY1,ACY1,,,1,13
ADA,ADA,2.0,,0,8
ADCY1,ADCY1,3.0,,0,5
ADCY3,ADCY3,2.0,,0,4
ADCY5,ADCY5,2.0,,0,14
ADGRB1,ADGRB1,3.0,,0,12
ADGRL1,ADGRL1,3.0,,1,6
ADK,ADK,2.0,,0,2
ADNP,ADNP,1.0,41.5,1,105
ADORA2A,ADORA2A,2.0,,0,7
ADORA3,ADORA3,2.0,,0,4
ADRB2,ADRB2,2.0,,0,10
ADSL,ADSL,1.0,0.35,1,9
ADSS2,ADSS2,2.0,,0,3
AFF2,AFF2,1.0,8.7,0,25
AGAP1,AGAP1,2.0,,0,10
AGAP2,AGAP2,2.0,3.25,0,7
AGBL4,AGBL4,2.0,,0,5
AGMO,AGMO,2.0,,0,10
AGO1,AGO1,2.0,,0,19
AGO2,AGO2,2.0,,1,6
AGO3,AGO3,2.0,,0,10
AGO4,AGO4,2.0,,0,6
AGTR2,AGTR2,2.0,,0,6
AHDC1,AHDC1,1.0,14.25,1,38
AHI1,AHI1,,,1,25
AHNAK,AHNAK,2.0,,0,9
AKAP9,AKAP9,2.0,,0,12
ALDH1A3,ALDH1A3,,,1,7
ALDH1L1,ALDH1L1,3.0,,0,7
ALDH5A1,ALDH5A1,1.0,2.35,1,22
ALG6,ALG6,,,1,4
AMPD1,AMPD1,2.0,,0,6
AMT,AMT,2.0,,0,3
ANK2,ANK2,1.0,10.8,0,45
ANK3,ANK3,1.0,7.3,0,40
ANKRD11,ANKRD11,1.0,22.6,1,92
ANKRD17,ANKRD17,2.0,,1,9
ANKS1B,ANKS1B,2.0,,1,9
ANP32A,ANP32A,1.0,3.1,0,5
ANXA1,ANXA1,2.0,,0,2
AP1S2,AP1S2,,,1,8
AP2M1,AP2M1,2.0,,0,10
AP2S1,AP2S1,1.0,0.2,0,6
APBA2,APBA2,2.0,,0,11
APBB1,APBB1,2.0,4.95,0,6
APH1A,APH1A,2.0,,0,3
AR,AR,2.0,,0,10
ARF3,ARF3,1.0,1.25,0,6
ARHGAP11B,ARHGAP11B,2.0,,0,4
ARHGAP30,ARHGAP30,3.0,,0,3
ARHGAP32,ARHGAP32,2.0,,0,12
ARHGAP5,ARHGAP5,2.0,,0,9
ARHGEF10,ARHGEF10,2.0,,0,10
ARHGEF2,ARHGEF2,3.0,,0,10
ARHGEF9,ARHGEF9,1.0,14.2,1,24
ARID1A,ARID1A,3.0,,1,11
ARID1B,ARID1B,1.0,34.75,1,106
ARID2,ARID2,2.0,,1,23
ARNT2,ARNT2,2.0,,0,16
ARX,ARX,1.0,13.8,1,28
ASAP2,ASAP2,2.0,,0,6
ASB11,ASB11,3.0,0.0,0,5
ASB14,ASB14,2.0,,0,5
ASB9,ASB9,3.0,0.1,0,1
ASH1L,ASH1L,1.0,14.15,0,55
ASMT,ASMT,2.0,,0,11
ASPM,ASPM,2.0,,0,17
ASTN1,ASTN1,1.0,,0,6
ASTN2,ASTN2,2.0,15.75,0,27
ASXL3,ASXL3,1.0,28.85,1,67
ATP10A,ATP10A,2.0,,0,11
ATP1A1,ATP1A1,2.0,,1,12
ATP1A3,ATP1A3,2.0,,1,29
ATP2B1,ATP2B1,3.0,,1,4
ATP2B2,ATP2B2,2.0,,0,19
ATP6V0A2,ATP6V0A2,2.0,,0,5
ATP9A,ATP9A,3.0,,1,7
ATRX,ATRX,1.0,9.25,0,44
ATXN2,ATXN2,3.0,,0,3
AUTS2,AUTS2,1.0,35.5,0,84
AVPR1A,AVPR1A,2.0,,0,27
AVPR1B,AVPR1B,2.0,,0,10
AZGP1,AZGP1,2.0,,0,4
BACE1,BACE1,3.0,,0,4
BAIAP2L1,BAIAP2L1,3.0,,0,6
BAZ2B,BAZ2B,1.0,7.35,0,11
BBS4,BBS4,2.0,,0,8
BCAS1,BCAS1,2.0,,0,6
BCKDK,BCKDK,1.0,3.1,0,11
BCL11A,BCL11A,1.0,9.15,1,34
BCL11B,BCL11B,3.0,,0,13
BCORL1,BCORL1,,,1,11
BICDL1,BICDL1,2.0,,0,2
BICRA,BICRA,2.0,,1,5
BIRC6,BIRC6,2.0,,0,18
BPTF,BPTF,3.0,,0,11
BRAF,BRAF,1.0,13.05,1,23
BRCA2,BRCA2,2.0,,0,11
BRD4,BRD4,2.0,,0,14
BRINP3,BRINP3,3.0,,0,4
BRSK2,BRSK2,1.0,7.7,1,18
BRWD3,BRWD3,,,1,11
BSN,BSN,3.0,,0,12
BST1,BST1,2.0,,0,6
BTAF1,BTAF1,2.0,,0,10
BTRC,BTRC,2.0,,0,4
C12orf57,C12ORF57,,,1,20
C15orf62,C15ORF62,2.0,,0,3
C4B,C4B,2.0,,0,7
CA6,CA6,2.0,,0,7
CACNA1A,CACNA1A,1.0,,1,55
CACNA1B,CACNA1B,2.0,,0,16
CACNA1C,CACNA1C,1.0,,1,69
CACNA1D,CACNA1D,2.0,12.7,0,38
CACNA1E,CACNA1E,1.0,7.5,0,27
CACNA1F,CACNA1F,2.0,,0,12
CACNA1G,CACNA1G,2.0,,0,36
CACNA1H,CACNA1H,2.0,,0,40
CACNA1I,CACNA1I,2.0,,0,15
CACNA2D1,CACNA2D1,2.0,,0,10
CACNA2D3,CACNA2D3,1.0,3.75,0,18
CACNB1,CACNB1,3.0,,0,3
CACNB2,CACNB2,2.0,,0,13
CACNG2,CACNG2,2.0,,0,6
CADM1,CADM1,2.0,,0,10
CADM2,CADM2,2.0,,0,7
CADPS,CADPS,2.0,,0,6
CADPS2,CADPS2,2.0,,0,14
CAMK2A,CAMK2A,1.0,,1,17
CAMK2B,CAMK2B,,,1,15
CAMK2D,CAMK2D,3.0,,1,5
CAMK4,CAMK4,2.0,,0,6
CAMTA2,CAMTA2,1.0,2.1,0,4
CAPN12,CAPN12,2.0,,0,10
CAPRIN1,CAPRIN1,1.0,5.5,0,9
CAPZA2,CAPZA2,3.0,,0,3
CARD11,CARD11,2.0,,0,2
CASK,CASK,1.0,,0,32
CASKIN1,CASKIN1,2.0,,0,9
CASZ1,CASZ1,1.0,9.55,0,11
CAT,CAT,3.0,,0,4
CBX1,CBX1,3.0,,1,4
CBX4,CBX4,3.0,,0,3
CC2D1A,CC2D1A,2.0,,0,23
CCDC88C,CCDC88C,2.0,,0,12
CCDC91,CCDC91,2.0,,0,6
CCIN,CCIN,2.0,,0,2
CCNG1,CCNG1,2.0,,0,2
CCNK,CCNK,,,1,7
CCSER1,CCSER1,2.0,,0,4
CCT4,CCT4,2.0,,0,4
CD276,CD276,2.0,,0,4
CD38,CD38,2.0,,0,10
CD99L2,CD99L2,2.0,,0,1
CDC42BPA,CDC42BPA,3.0,,0,7
CDC42BPB,CDC42BPB,2.0,,0,15
CDH10,CDH10,2.0,,0,11
CDH11,CDH11,2.0,,0,9
CDH13,CDH13,2.0,,0,7
CDH2,CDH2,3.0,,1,8
CDH22,CDH22,2.0,,0,8
CDH8,CDH8,2.0,,0,13
CDH9,CDH9,2.0,,0,7
CDK13,CDK13,,,1,27
CDK16,CDK16,2.0,,0,3
CDK19,CDK19,3.0,,1,7
CDK5RAP2,CDK5RAP2,3.0,,0,15
CDK8,CDK8,,,1,6
CDKL5,CDKL5,1.0,,1,67
CDON,CDON,3.0,,0,5
CECR2,CECR2,2.0,,0,5
CELF2,CELF2,2.0,,1,7
CELF4,CELF4,1.0,8.5,0,16
CELF6,CELF6,2.0,,0,5
CEP135,CEP135,2.0,,0,10
CEP290,CEP290,2.0,,1,17
CEP41,CEP41,2.0,,0,10
CERT1,CERT1,3.0,,1,10
CGNL1,CGNL1,2.0,,0,9
CHAMP1,CHAMP1,1.0,,1,20
CHD1,CHD1,2.0,,1,17
CHD2,CHD2,1.0,25.0,1,98
CHD3,CHD3,1.0,,1,30
CHD4,CHD4,3.0,,1,8
CHD7,CHD7,1.0,8.1,1,56
CHD8,CHD8,1.0,97.65,1,144
CHD9,CHD9,3.0,,0,8
CHKB,CHKB,,,1,11
CHM,CHM,3.0,,0,8
CHMP1A,CHMP1A,2.0,,0,6
CHRM3,CHRM3,2.0,,0,8
CHRNA7,CHRNA7,2.0,,0,18
CHRNB3,CHRNB3,2.0,,0,4
CIB2,CIB2,2.0,,0,3
CIC,CIC,1.0,18.7,0,20
CLASP1,CLASP1,2.0,,0,6
CLCN4,CLCN4,2.0,,1,19
CLIP2,CLIP2,3.0,,0,3
CLN8,CLN8,2.0,,0,9
CLTC,CLTC,3.0,,0,8
CLTCL1,CLTCL1,2.0,,0,10
CMIP,CMIP,2.0,,0,8
CMPK2,CMPK2,2.0,,0,4
CNGB3,CNGB3,2.0,,0,8
CNKSR2,CNKSR2,2.0,,1,18
CNOT1,CNOT1,2.0,,1,15
CNOT3,CNOT3,1.0,5.6,1,28
CNR1,CNR1,2.0,,0,10
CNTN3,CNTN3,2.0,,0,8
CNTN4,CNTN4,2.0,,0,31
CNTN5,CNTN5,2.0,,0,11
CNTN6,CNTN6,2.0,13.8,0,19
CNTNAP2,CNTNAP2,2.0,,1,111
CNTNAP3,CNTNAP3,2.0,,0,9
CNTNAP4,CNTNAP4,2.0,,0,16
CNTNAP5,CNTNAP5,2.0,,0,17
COL12A1,COL12A1,3.0,,0,10
COL28A1,COL28A1,2.0,,0,6
CORO1A,CORO1A,1.0,0.7,0,4
CPEB4,CPEB4,2.0,,0,5
CPSF7,CPSF7,1.0,,0,9
CPT2,CPT2,2.0,,0,5
CPZ,CPZ,2.0,,0,5
CREBBP,CREBBP,1.0,31.35,1,50
CRMP1,CRMP1,3.0,,0,9
CSDE1,CSDE1,1.0,15.55,1,10
CSMD1,CSMD1,2.0,,0,27
CSMD2,CSMD2,3.0,,0,9
CSMD3,CSMD3,3.0,,0,12
CSNK1E,CSNK1E,2.0,,0,9
CSNK1G1,CSNK1G1,3.0,,1,3
CSNK2A1,CSNK2A1,1.0,6.2,1,24
CSNK2B,CSNK2B,,,1,15
CTCF,CTCF,1.0,10.45,1,29
CTNNA2,CTNNA2,,,1,7
CTNNA3,CTNNA3,2.0,,0,22
CTNNB1,CTNNB1,1.0,32.75,0,50
CTNND1,CTNND1,2.0,,0,4
CTNND2,CTNND2,2.0,,0,20
CTPS1,CTPS1,3.0,,0,3
CTR9,CTR9,3.0,,1,10
CTTNBP2,CTTNBP2,2.0,26.8,0,16
CUL2,CUL2,3.0,,0,5
CUL3,CUL3,1.0,18.4,0,45
CUL4B,CUL4B,3.0,,1,5
CUL7,CUL7,2.0,,0,10
CUX1,CUX1,2.0,,0,16
CUX2,CUX2,2.0,,1,18
CX3CR1,CX3CR1,2.0,,0,4
CXXC5,CXXC5,3.0,,0,5
CYFIP1,CYFIP1,2.0,,0,26
CYFIP2,CYFIP2,3.0,,0,12
CYLC2,CYLC2,2.0,,0,4
CYP11B1,CYP11B1,2.0,,0,5
CYP27A1,CYP27A1,,,1,8
CYP27B1,VDR,2.0,,0,11
DAGLA,DAGLA,2.0,,0,8
DAPP1,DAPP1,2.0,,0,3
DCC,DCC,2.0,,0,6
DDC,DDC,2.0,,0,8
DDHD2,DDHD2,2.0,,0,8
DDX23,DDX23,,,1,4
DDX3X,DDX3X,1.0,78.6,1,69
DDX53,DDX53,2.0,10.2,0,7
DEAF1,DEAF1,1.0,30.9,1,46
DENND2B,DENND2B,3.0,,1,6
DENR,DENR,2.0,,0,5
DEPDC5,DEPDC5,,,1,30
DGKI,DGKI,3.0,,0,5
DHCR7,DHCR7,1.0,,1,22
DHX30,DHX30,,,1,14
DHX9,DHX9,3.0,,1,5
DIP2A,DIP2A,1.0,18.2,0,15
DIP2C,DIP2C,2.0,,0,10
DIPK2A,DIPK2A,2.0,,0,3
DISC1,DISC1,2.0,4.6,0,40
DIXDC1,DIXDC1,2.0,,0,6
DLG1,DLG1,2.0,,0,6
DLG2,DLG2,2.0,,0,17
DLG3,DLG3,2.0,,0,16
DLG4,DLG4,1.0,2.45,0,27
DLGAP1,DLGAP1,2.0,,0,14
DLGAP2,DLGAP2,2.0,2.8,0,23
DLGAP3,DLGAP3,2.0,,0,15
DLL1,DLL1,2.0,,1,6
DLX2,DLX2,2.0,,0,11
DLX3,DLX3,2.0,,0,4
DLX6,DLX6,2.0,,0,10
DMD,DMD,,40.95,1,57
DMPK,DMPK,1.0,3.75,1,15
DMWD,DMWD,2.0,,0,4
DMXL2,DMXL2,2.0,,0,11
DNAH10,DNAH10,2.0,,0,13
DNAH17,DNAH17,2.0,,0,12
DNAH3,DNAH3,2.0,,0,10
DNAJC5,DNAJC5,3.0,,0,5
DNER,DNER,2.0,,0,3
DNM1,DNM1,3.0,,0,13
DNMT3A,DNMT3A,1.0,15.9,1,41
DOCK1,DOCK1,2.0,,0,5
DOCK4,DOCK4,2.0,,0,13
DOCK8,DOCK8,2.0,,0,14
DOLK,DOLK,,,1,6
DOP1A,DOP1A,3.0,,0,8
DOT1L,DOT1L,2.0,,1,6
DPP10,DPP10,2.0,,0,14
DPP3,DPP3,2.0,,0,4
DPP4,DPP4,2.0,,0,6
DPP6,DPP6,2.0,,0,29
DPYD,DPYD,2.0,,0,19
DPYSL2,DPYSL2,1.0,1.0,0,18
DPYSL3,DPYSL3,2.0,,0,3
DPYSL5,DPYSL5,3.0,,0,3
DRD1,DRD1,2.0,,0,5
DRD2,DRD2,2.0,,0,8
DRD3,DRD3,2.0,,0,9
DSCAM,DSCAM,1.0,13.5,0,24
DST,DST,2.0,,0,13
DUSP15,DUSP15,2.0,,0,7
DVL3,DVL3,2.0,,0,7
DYDC1,DYDC1,2.0,,0,2
DYDC2,DYDC2,2.0,,0,1
DYNC1H1,DYNC1H1,1.0,13.45,0,43
DYRK1A,DYRK1A,1.0,20.2,1,99
EBF3,EBF3,1.0,9.75,1,29
ECPAS,ECPAS,2.0,,0,5
EEF1A2,EEF1A2,,,1,25
EGR3,EGR3,2.0,,0,3
EHMT1,EHMT1,1.0,13.5,1,50
EIF3F,EIF3F,3.0,,0,8
EIF3G,EIF3G,1.0,1.5,0,5
EIF4E,EIF4E,2.0,3.6,0,15
EIF4G1,EIF4G1,3.0,,0,5
EIF5A,EIF5A,3.0,,0,5
ELAVL2,ELAVL2,2.0,,0,8
ELAVL3,ELAVL3,1.0,1.0,0,7
ELOVL2,ELOVL2,2.0,,0,3
ELP2,ELP2,2.0,,1,8
ELP4,ELP4,2.0,,0,7
EMSY,EMSY,2.0,,0,6
EN2,EN2,2.0,,0,27
ENOX2,ENOX2,3.0,,0,2
ENPP1,ENPP1,3.0,,0,5
EP300,EP300,1.0,23.6,1,36
EP400,EP400,2.0,,0,15
