stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000005257	9606.ENSP00000361021	RALA	PTEN	9606	0.402	0	0	0	0.059	0.099	0	0.351
9606.ENSP00000005257	9606.ENSP00000263967	RALA	PIK3CA	9606	0.405	0	0	0	0.069	0.129	0	0.325
9606.ENSP00000005257	9606.ENSP00000317272	RALA	MET	9606	0.409	0	0	0	0.08	0.274	0	0.186
9606.ENSP00000005257	9606.ENSP00000263025	RALA	MAPK3	9606	0.415	0	0	0	0.069	0.098	0	0.359
9606.ENSP00000005257	9606.ENSP00000353590	RALA	MYH10	9606	0.418	0	0	0	0.044	0.379	0	0.098
9606.ENSP00000005257	9606.ENSP00000316357	RALA	USP9X	9606	0.428	0	0	0	0.077	0.068	0	0.389
9606.ENSP00000005257	9606.ENSP00000380271	RALA	RAPGEF4	9606	0.435	0	0	0	0	0.178	0	0.341
9606.ENSP00000005257	9606.ENSP00000354558	RALA	MTOR	9606	0.438	0	0	0	0.054	0.128	0	0.374
9606.ENSP00000005257	9606.ENSP00000358723	RALA	RAP1A	9606	0.445	0	0	0.067	0.095	0.068	0	0.378
9606.ENSP00000005257	9606.ENSP00000216373	RALA	SOS2	9606	0.449	0	0	0	0.052	0.157	0	0.366
9606.ENSP00000005257	9606.ENSP00000418447	RALA	PPP2CA	9606	0.461	0	0	0	0.087	0.354	0	0.158
9606.ENSP00000005257	9606.ENSP00000219476	RALA	TSC2	9606	0.525	0	0	0	0	0.386	0	0.257
9606.ENSP00000005257	9606.ENSP00000351015	RALA	NF1	9606	0.536	0	0	0	0.051	0.324	0	0.334
9606.ENSP00000005257	9606.ENSP00000490119	RALA	RALGAPA1	9606	0.542	0	0	0	0.042	0.11	0	0.506
9606.ENSP00000005257	9606.ENSP00000348461	RALA	RAC1	9606	0.549	0	0	0	0.122	0.144	0.4	0.118
9606.ENSP00000005257	9606.ENSP00000216181	RALA	MYH9	9606	0.57	0	0	0	0.047	0.248	0.4	0.118
9606.ENSP00000005257	9606.ENSP00000370719	RALA	ITSN1	9606	0.587	0	0	0	0	0.497	0	0.213
9606.ENSP00000005257	9606.ENSP00000418572	RALA	VAMP2	9606	0.624	0	0	0	0.056	0.092	0.5	0.227
9606.ENSP00000005257	9606.ENSP00000419060	RALA	BRAF	9606	0.641	0	0	0	0.074	0.347	0	0.453
9606.ENSP00000005257	9606.ENSP00000382177	RALA	MYO5A	9606	0.658	0	0	0	0.042	0.114	0.5	0.29
9606.ENSP00000005257	9606.ENSP00000256682	RALA	ARF3	9606	0.746	0	0	0	0.066	0.063	0	0.733
9606.ENSP00000005257	9606.ENSP00000489442	RALA	EXOC6B	9606	0.819	0	0	0	0.042	0.117	0	0.804
9606.ENSP00000005257	9606.ENSP00000368824	RALA	CNKSR2	9606	0.83	0	0	0	0	0.369	0	0.742
9606.ENSP00000005257	9606.ENSP00000407586	RALA	HRAS	9606	0.831	0	0	0.062	0.055	0.446	0.5	0.417
9606.ENSP00000005257	9606.ENSP00000260762	RALA	EXOC6	9606	0.85	0	0	0	0.042	0.117	0.5	0.689
9606.ENSP00000005257	9606.ENSP00000311344	RALA	PPP2R1B	9606	0.869	0	0	0	0.073	0.229	0	0.831
9606.ENSP00000005257	9606.ENSP00000425587	RALA	EXOC3	9606	0.871	0	0	0	0.049	0.066	0.5	0.743
9606.ENSP00000005257	9606.ENSP00000262879	RALA	RALGAPB	9606	0.892	0	0	0	0.057	0	0.75	0.579
9606.ENSP00000005257	9606.ENSP00000358866	RALA	FLNA	9606	0.93	0	0	0	0.042	0.297	0	0.905
9606.ENSP00000005257	9606.ENSP00000484855	RALA	EXOC5	9606	0.96	0	0	0	0.09	0.091	0.9	0.58
9606.ENSP00000005260	9606.ENSP00000394791	BAIAP2L1	SENP1	9606	0.4	0	0	0	0	0	0.4	0
9606.ENSP00000005260	9606.ENSP00000366283	BAIAP2L1	SLITRK5	9606	0.404	0	0	0	0.048	0	0.4	0
9606.ENSP00000005260	9606.ENSP00000426632	BAIAP2L1	ERBIN	9606	0.409	0	0	0	0.048	0	0.4	0.049
9606.ENSP00000005260	9606.ENSP00000222254	BAIAP2L1	PIK3R2	9606	0.409	0	0	0	0	0	0.4	0.056
9606.ENSP00000005260	9606.ENSP00000278568	BAIAP2L1	PAK1	9606	0.41	0	0	0	0	0	0.4	0.057
9606.ENSP00000005260	9606.ENSP00000481038	BAIAP2L1	CYFIP1	9606	0.411	0	0	0	0.058	0	0.4	0.042
9606.ENSP00000005260	9606.ENSP00000354251	BAIAP2L1	NCKAP1	9606	0.421	0	0	0	0.067	0	0.4	0.05
9606.ENSP00000005260	9606.ENSP00000314067	BAIAP2L1	PAK2	9606	0.426	0	0	0	0	0	0.4	0.083
9606.ENSP00000005260	9606.ENSP00000355237	BAIAP2L1	CDC42BPB	9606	0.429	0	0	0	0.06	0.091	0	0.385
9606.ENSP00000005260	9606.ENSP00000263967	BAIAP2L1	PIK3CA	9606	0.474	0	0	0	0	0	0.4	0.159
9606.ENSP00000005260	9606.ENSP00000263377	BAIAP2L1	BRD4	9606	0.51	0	0	0	0	0.51	0	0
9606.ENSP00000005260	9606.ENSP00000341171	BAIAP2L1	MTSS2	9606	0.538	0	0	0	0	0	0	0.538
9606.ENSP00000005260	9606.ENSP00000293441	BAIAP2L1	SHANK1	9606	0.54	0	0	0	0	0.196	0	0.452
9606.ENSP00000005260	9606.ENSP00000494750	BAIAP2L1	ACTB	9606	0.552	0	0	0	0	0.231	0.4	0.108
9606.ENSP00000005260	9606.ENSP00000348461	BAIAP2L1	RAC1	9606	0.593	0	0	0	0.057	0.207	0.5	0
9606.ENSP00000011619	9606.ENSP00000494040	RANBP9	DDX3X	9606	0.424	0	0	0	0.072	0.405	0	0
9606.ENSP00000011619	9606.ENSP00000340373	RANBP9	DYRK1A	9606	0.434	0	0	0	0.358	0	0	0.154
9606.ENSP00000011619	9606.ENSP00000369497	RANBP9	BRCA2	9606	0.448	0	0	0	0.054	0	0	0.441
9606.ENSP00000011619	9606.ENSP00000303211	RANBP9	ACHE	9606	0.45	0	0	0	0	0	0	0.45
9606.ENSP00000011619	9606.ENSP00000407586	RANBP9	HRAS	9606	0.518	0	0	0	0.075	0	0.5	0
9606.ENSP00000011619	9606.ENSP00000347836	RANBP9	UBE2H	9606	0.519	0	0	0	0.102	0	0	0.487
9606.ENSP00000011619	9606.ENSP00000352882	RANBP9	PLXNA4	9606	0.521	0	0	0	0	0	0	0.521
9606.ENSP00000011619	9606.ENSP00000343535	RANBP9	USP7	9606	0.532	0	0	0	0.227	0.292	0	0.212
9606.ENSP00000011619	9606.ENSP00000358696	RANBP9	PLXNA3	9606	0.558	0	0	0	0	0	0	0.558
9606.ENSP00000011619	9606.ENSP00000363822	RANBP9	AR	9606	0.588	0	0	0	0	0.51	0	0.194
9606.ENSP00000011619	9606.ENSP00000359506	RANBP9	FMR1	9606	0.597	0	0	0	0.252	0.352	0	0.236
9606.ENSP00000011619	9606.ENSP00000277120	RANBP9	NTRK2	9606	0.631	0	0	0	0	0.292	0	0.501
9606.ENSP00000011619	9606.ENSP00000317272	RANBP9	MET	9606	0.716	0	0	0	0.042	0.292	0.4	0.384
9606.ENSP00000011619	9606.ENSP00000431418	RANBP9	NTRK1	9606	0.725	0	0	0	0	0.06	0	0.72
9606.ENSP00000011619	9606.ENSP00000498603	RANBP9	WDR26	9606	0.996	0	0	0	0.543	0.972	0	0.715
9606.ENSP00000012443	9606.ENSP00000476136	PPP5C	H2BC11	9606	0.4	0	0	0	0	0	0.4	0
9606.ENSP00000012443	9606.ENSP00000407586	PPP5C	HRAS	9606	0.426	0	0	0	0.075	0.049	0.4	0
9606.ENSP00000012443	9606.ENSP00000261609	PPP5C	HERC2	9606	0.442	0	0	0	0.067	0.052	0.4	0.073
9606.ENSP00000012443	9606.ENSP00000389715	PPP5C	KSR2	9606	0.452	0	0	0	0.055	0.431	0	0.064
9606.ENSP00000012443	9606.ENSP00000264335	PPP5C	YWHAE	9606	0.452	0	0	0	0.098	0.07	0	0.4
