experiment,T,pctl,rep,fold,model,feature,base_auc,auc_drop,task_seconds
importance,2,75,0,0,GAT-LR,degree_centrality,0.98231844057271,0.10207003622563396,70.5
importance,2,75,0,0,GAT-LR,betweenness_centrality,0.98231844057271,0.019492841124719662,70.5
importance,2,75,0,0,GAT-LR,closeness_centrality,0.98231844057271,-0.00021562877350355113,70.5
importance,2,75,0,0,GAT-LR,eigenvector_centrality,0.98231844057271,0.0347679834397102,70.5
importance,2,75,0,0,GAT-LR,clustering_coefficient,0.98231844057271,-0.000258754528204308,70.5
importance,2,75,0,0,RandomForest,degree_centrality,1.0,0.03219337588407802,70.5
importance,2,75,0,0,RandomForest,betweenness_centrality,1.0,1.725030188030052e-05,70.5
importance,2,75,0,0,RandomForest,closeness_centrality,1.0,0.006757805761600832,70.5
importance,2,75,0,0,RandomForest,eigenvector_centrality,1.0,0.04396239434190101,70.5
importance,2,75,0,0,RandomForest,clustering_coefficient,1.0,0.00023287907538382946,70.5
importance,2,75,0,1,GAT-LR,degree_centrality,0.9357426254959461,0.1211574952561669,71.2
importance,2,75,0,1,GAT-LR,betweenness_centrality,0.9357426254959461,0.034634293600137936,71.2
importance,2,75,0,1,GAT-LR,closeness_centrality,0.9357426254959461,0.060350181128169665,71.2
importance,2,75,0,1,GAT-LR,eigenvector_centrality,0.9357426254959461,0.09477747110574432,71.2
importance,2,75,0,1,GAT-LR,clustering_coefficient,0.9357426254959461,0.05972054510953938,71.2
importance,2,75,0,1,RandomForest,degree_centrality,0.9991374849059858,0.04453165430395021,71.2
importance,2,75,0,1,RandomForest,betweenness_centrality,0.9991374849059858,0.00014231499051222673,71.2
importance,2,75,0,1,RandomForest,closeness_centrality,0.9991374849059858,0.008262894600655445,71.2
importance,2,75,0,1,RandomForest,eigenvector_centrality,0.9991374849059858,0.04289287562532336,71.2
importance,2,75,0,1,RandomForest,clustering_coefficient,0.9991374849059858,0.0009228911505950177,71.2
importance,2,75,0,2,GAT-LR,degree_centrality,0.9915473520786614,0.08952044160772817,70.1
importance,2,75,0,2,GAT-LR,betweenness_centrality,0.9915473520786614,0.022770398481973476,70.1
importance,2,75,0,2,GAT-LR,closeness_centrality,0.9915473520786614,0.0073658789028807955,70.1
importance,2,75,0,2,GAT-LR,eigenvector_centrality,0.9915473520786614,0.02979989649818876,70.1
importance,2,75,0,2,GAT-LR,clustering_coefficient,0.9915473520786614,0.0028894255649474345,70.1
importance,2,75,0,2,RandomForest,degree_centrality,0.9995687424529929,0.03853717440055193,70.1
importance,2,75,0,2,RandomForest,betweenness_centrality,0.9995687424529929,0.00022856649991369603,70.1
importance,2,75,0,2,RandomForest,closeness_centrality,0.9995687424529929,0.007370191478350807,70.1
importance,2,75,0,2,RandomForest,eigenvector_centrality,0.9995687424529929,0.020635673624288375,70.1
importance,2,75,0,2,RandomForest,clustering_coefficient,0.9995687424529929,0.0001897533206830726,70.1
importance,2,75,0,3,GAT-LR,degree_centrality,0.9732620320855615,0.09973262032085559,68.3
importance,2,75,0,3,GAT-LR,betweenness_centrality,0.9732620320855615,0.013731240296705239,68.3
importance,2,75,0,3,GAT-LR,closeness_centrality,0.9732620320855615,-0.002811799206486121,68.3
importance,2,75,0,3,GAT-LR,eigenvector_centrality,0.9732620320855615,0.03885630498533722,68.3
importance,2,75,0,3,GAT-LR,clustering_coefficient,0.9732620320855615,0.0007158875280317223,68.3
importance,2,75,0,3,RandomForest,degree_centrality,0.997498706227359,0.042910125927203766,68.3
importance,2,75,0,3,RandomForest,betweenness_centrality,0.997498706227359,-0.00032344316025524346,68.3
importance,2,75,0,3,RandomForest,closeness_centrality,0.997498706227359,0.012691909608418216,68.3
importance,2,75,0,3,RandomForest,eigenvector_centrality,0.997498706227359,0.06251078143867525,68.3
importance,2,75,0,3,RandomForest,clustering_coefficient,0.997498706227359,-0.0005563222356390507,68.3
importance,2,75,0,4,GAT-LR,degree_centrality,0.9878818911076974,0.10899470899470887,69.7
importance,2,75,0,4,GAT-LR,betweenness_centrality,0.9878818911076974,0.06746031746031732,69.7
importance,2,75,0,4,GAT-LR,closeness_centrality,0.9878818911076974,0.026036866359446888,69.7
importance,2,75,0,4,GAT-LR,eigenvector_centrality,0.9878818911076974,0.03519371906468667,69.7
importance,2,75,0,4,GAT-LR,clustering_coefficient,0.9878818911076974,-0.0015958354668033081,69.7
importance,2,75,0,4,RandomForest,degree_centrality,0.9982078853046594,0.06931216931216924,69.7
importance,2,75,0,4,RandomForest,betweenness_centrality,0.9982078853046594,-0.0001280081925243759,69.7
importance,2,75,0,4,RandomForest,closeness_centrality,0.9982078853046594,0.007061785287591704,69.7
importance,2,75,0,4,RandomForest,eigenvector_centrality,0.9982078853046594,0.022162485065710846,69.7
importance,2,75,0,4,RandomForest,clustering_coefficient,0.9982078853046594,0.00018774534903567285,69.7
