experiment,T,pctl,rep,fold,model,setting,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
inductive,2,75,1,0,GCN,transductive,89.1566265060241,70.58823529411765,96.7741935483871,81.63265306122449,0.9795583922718648,0.9462315687170149,197.5
inductive,2,75,1,0,GCN,inductive,87.95180722891565,67.77777777777779,98.38709677419355,80.26315789473685,0.9844747283077454,0.9583239976323242,197.5
inductive,2,75,1,0,GraphSAGE,transductive,100.0,100.0,100.0,100.0,1.0,1.0,197.5
inductive,2,75,1,0,GraphSAGE,inductive,100.0,100.0,100.0,100.0,1.0,1.0,197.5
inductive,2,75,1,0,GAT-LR,transductive,95.58232931726907,88.05970149253731,95.16129032258065,91.47286821705426,0.994997412454718,0.9850635378635542,197.5
inductive,2,75,1,0,GAT-LR,inductive,96.78714859437751,90.9090909090909,96.7741935483871,93.75,0.9965499396239434,0.9902431324535224,197.5
inductive,2,75,1,1,GCN,transductive,72.28915662650603,47.199999999999996,95.16129032258065,63.101604278074866,0.9211661204071072,0.8287846662117648,199.3
inductive,2,75,1,1,GCN,inductive,74.69879518072288,49.45054945054945,72.58064516129032,58.82352941176471,0.8742452992927376,0.763889343863975,199.3
inductive,2,75,1,1,GraphSAGE,transductive,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.996894945661549,0.9912179034834696,199.3
inductive,2,75,1,1,GraphSAGE,inductive,97.59036144578313,92.42424242424242,98.38709677419355,95.3125,0.9978437122649646,0.9936744941478843,199.3
inductive,2,75,1,1,GAT-LR,transductive,97.18875502008032,93.65079365079364,95.16129032258065,94.39999999999999,0.994393651888908,0.9789057231633979,199.3
inductive,2,75,1,1,GAT-LR,inductive,97.18875502008032,93.65079365079364,95.16129032258065,94.39999999999999,0.9899948249094359,0.952826664904557,199.3
inductive,2,75,0,3,GCN,transductive,81.92771084337349,58.94736842105262,90.32258064516128,71.3375796178344,0.9434190098326721,0.8701680653003554,199.8
inductive,2,75,0,3,GCN,inductive,81.12449799196787,57.73195876288659,90.32258064516128,70.44025157232704,0.9388476798343971,0.8552861508910615,199.8
inductive,2,75,0,3,GraphSAGE,transductive,97.18875502008032,89.85507246376811,100.0,94.65648854961832,0.994393651888908,0.982621730309551,199.8
inductive,2,75,0,3,GraphSAGE,inductive,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.994393651888908,0.9826217303095511,199.8
inductive,2,75,0,3,GAT-LR,transductive,95.18072289156626,83.78378378378379,100.0,91.17647058823529,0.9732620320855615,0.8600382575654736,199.8
inductive,2,75,0,3,GAT-LR,inductive,94.77911646586345,83.56164383561644,98.38709677419355,90.37037037037037,0.9850784888735552,0.9421149712678153,199.8
inductive,2,75,0,4,GCN,transductive,84.33734939759037,62.244897959183675,96.82539682539682,75.77639751552795,0.9856630824372761,0.9709163417836324,201.2
inductive,2,75,0,4,GCN,inductive,84.33734939759037,62.0,98.4126984126984,76.07361963190185,0.98805256869773,0.9725136623592292,201.2
inductive,2,75,0,4,GraphSAGE,transductive,99.19678714859438,100.0,96.82539682539682,98.38709677419355,0.9999146612049838,0.9997519841269842,201.2
inductive,2,75,0,4,GraphSAGE,inductive,99.19678714859438,100.0,96.82539682539682,98.38709677419355,0.9998293224099676,0.9995000314940792,201.2
inductive,2,75,0,4,GAT-LR,transductive,94.77911646586345,94.64285714285714,84.12698412698413,89.07563025210085,0.9878818911076974,0.969277487131579,201.2
inductive,2,75,0,4,GAT-LR,inductive,97.18875502008032,93.75,95.23809523809523,94.48818897637796,0.9895033282130056,0.9566784308644056,201.2
inductive,2,75,0,1,GCN,transductive,83.93574297188755,61.0,98.38709677419355,75.30864197530865,0.9861135069863722,0.9666034846302802,203.1
inductive,2,75,0,1,GCN,inductive,81.92771084337349,58.0952380952381,98.38709677419355,73.05389221556887,0.99146110056926,0.9834462739421025,203.1
inductive,2,75,0,1,GraphSAGE,transductive,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9990512333965844,0.9969882094740806,203.1
inductive,2,75,0,1,GraphSAGE,inductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9997412454717958,0.9992555831265507,203.1
inductive,2,75,0,1,GAT-LR,transductive,72.69076305220884,47.69230769230769,100.0,64.58333333333334,0.9357426254959461,0.810858590724145,203.1
inductive,2,75,0,1,GAT-LR,inductive,95.58232931726907,85.91549295774648,98.38709677419355,91.72932330827066,0.9874935311367949,0.9571193920261076,203.1
inductive,2,75,0,2,GCN,transductive,89.95983935742971,72.8395061728395,95.16129032258065,82.51748251748252,0.9842159737795411,0.959883237358132,203.7
inductive,2,75,0,2,GCN,inductive,89.95983935742971,72.8395061728395,95.16129032258065,82.51748251748252,0.985854752458168,0.9605788121304453,203.7
inductive,2,75,0,2,GraphSAGE,transductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9996549939623943,0.9989839349718382,203.7
inductive,2,75,0,2,GraphSAGE,inductive,99.19678714859438,96.875,100.0,98.4126984126984,0.9997412454717958,0.9992358220603537,203.7
inductive,2,75,0,2,GAT-LR,transductive,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9915473520786614,0.9671027198788215,203.7
inductive,2,75,0,2,GAT-LR,inductive,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.9945661549077109,0.9769715638506804,203.7
inductive,2,75,0,0,GCN,transductive,87.14859437751004,66.30434782608695,98.38709677419355,79.22077922077922,0.9813696739692945,0.9524603579015364,203.7
inductive,2,75,0,0,GCN,inductive,88.35341365461848,68.96551724137932,96.7741935483871,80.53691275167785,0.9826634466103157,0.9531464547842181,203.7
inductive,2,75,0,0,GraphSAGE,transductive,100.0,100.0,100.0,100.0,1.0,1.0,203.7
inductive,2,75,0,0,GraphSAGE,inductive,99.19678714859438,96.875,100.0,98.4126984126984,1.0,0.9999999999999999,203.7
inductive,2,75,0,0,GAT-LR,transductive,95.98393574297188,86.11111111111111,100.0,92.53731343283582,0.98231844057271,0.8898124333714796,203.7
inductive,2,75,0,0,GAT-LR,inductive,95.98393574297188,86.11111111111111,100.0,92.53731343283582,0.9806796618940832,0.8853458712750093,203.7
inductive,2,75,1,2,GCN,transductive,78.714859437751,54.054054054054056,96.7741935483871,69.36416184971098,0.9791271347248577,0.9625527452032219,165.2
inductive,2,75,1,2,GCN,inductive,82.73092369477911,60.0,91.93548387096774,72.61146496815286,0.9662756598240468,0.9431895065103298,165.2
inductive,2,75,1,2,GraphSAGE,transductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9998274969811971,0.9994838379333696,165.2
inductive,2,75,1,2,GraphSAGE,inductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9998274969811971,0.9994838379333696,165.2
inductive,2,75,1,2,GAT-LR,transductive,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9946524064171123,0.9854003124223609,165.2
inductive,2,75,1,2,GAT-LR,inductive,75.1004016064257,0.0,0.0,0.0,0.9289287562532345,0.898767241886139,165.2
inductive,2,75,2,3,GCN,transductive,83.13253012048193,59.61538461538461,100.0,74.69879518072288,0.9912023460410557,0.975100725703386,160.8
inductive,2,75,2,3,GCN,inductive,82.73092369477911,59.4059405940594,96.7741935483871,73.61963190184049,0.9869760220803864,0.9725439702860658,160.8
inductive,2,75,2,3,GraphSAGE,transductive,99.19678714859438,96.875,100.0,98.4126984126984,0.9995687424529929,0.9987195246069518,160.8
inductive,2,75,2,3,GraphSAGE,inductive,98.39357429718876,93.93939393939394,100.0,96.875,0.9994824909435915,0.9984979268469827,160.8
inductive,2,75,2,3,GAT-LR,transductive,97.18875502008032,89.85507246376811,100.0,94.65648854961832,0.9907710884940486,0.9519103635227069,160.8
inductive,2,75,2,3,GAT-LR,inductive,93.57429718875501,79.48717948717949,100.0,88.57142857142857,0.9861997584957737,0.9494604596819547,160.8
inductive,2,75,1,4,GCN,transductive,77.10843373493977,52.67857142857143,93.65079365079364,67.42857142857143,0.9470046082949308,0.8861474299779077,165.7
inductive,2,75,1,4,GCN,inductive,73.89558232931726,49.2063492063492,98.4126984126984,65.60846560846561,0.95784263526199,0.9027835128137677,165.7
inductive,2,75,1,4,GraphSAGE,transductive,99.19678714859438,100.0,96.82539682539682,98.38709677419355,1.0,1.0,165.7
inductive,2,75,1,4,GraphSAGE,inductive,98.79518072289156,100.0,95.23809523809523,97.5609756097561,0.9998293224099676,0.999500031494079,165.7
inductive,2,75,1,4,GAT-LR,transductive,98.79518072289156,95.45454545454545,100.0,97.67441860465115,0.9950503498890596,0.9764277840749647,165.7
inductive,2,75,1,4,GAT-LR,inductive,96.3855421686747,87.5,100.0,93.33333333333333,0.9951356886840758,0.9773597738958434,165.7
inductive,2,75,1,3,GCN,transductive,91.16465863453816,75.0,96.7741935483871,84.50704225352112,0.990426082456443,0.9766651378153688,166.8
inductive,2,75,1,3,GCN,inductive,87.95180722891565,67.77777777777779,98.38709677419355,80.26315789473685,0.99085734000345,0.9771265878073218,166.8
inductive,2,75,1,3,GraphSAGE,transductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.999568742452993,0.9987435503564535,166.8
inductive,2,75,1,3,GraphSAGE,inductive,98.39357429718876,93.93939393939394,100.0,96.875,0.999568742452993,0.9987435503564535,166.8
inductive,2,75,1,3,GAT-LR,transductive,93.17269076305222,78.48101265822784,100.0,87.94326241134752,0.9757633258582026,0.8754082498234201,166.8
inductive,2,75,1,3,GAT-LR,inductive,95.58232931726907,84.93150684931507,100.0,91.85185185185185,0.9761945834052096,0.8755728255039464,166.8
inductive,2,75,2,1,GCN,transductive,76.70682730923694,51.9607843137255,85.48387096774194,64.63414634146342,0.9063308607900638,0.7970162716353135,164.7
inductive,2,75,2,1,GCN,inductive,75.50200803212851,50.51546391752577,79.03225806451613,61.63522012578616,0.8681214421252371,0.7338565866307346,164.7
inductive,2,75,2,1,GraphSAGE,transductive,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9991374849059859,0.997450422646518,164.7
inductive,2,75,2,1,GraphSAGE,inductive,98.39357429718876,93.93939393939394,100.0,96.875,0.9988787303777816,0.9966512046633627,164.7
inductive,2,75,2,1,GAT-LR,transductive,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.9899948249094359,0.9495694471240465,164.7
inductive,2,75,2,1,GAT-LR,inductive,96.78714859437751,92.1875,95.16129032258065,93.65079365079364,0.9912023460410557,0.9546283155360131,164.7
inductive,2,75,2,0,GCN,transductive,83.13253012048193,60.0,96.7741935483871,74.07407407407408,0.9832672071761255,0.9662528599076018,166.8
inductive,2,75,2,0,GCN,inductive,84.73895582329317,62.5,96.7741935483871,75.9493670886076,0.9763670864240124,0.9512365627198853,166.8
inductive,2,75,2,0,GraphSAGE,transductive,100.0,100.0,100.0,100.0,1.0,1.0,166.8
inductive,2,75,2,0,GraphSAGE,inductive,99.59839357429718,98.4126984126984,100.0,99.2,1.0,1.0,166.8
inductive,2,75,2,0,GAT-LR,transductive,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9975849577367604,0.9923394951063929,166.8
inductive,2,75,2,0,GAT-LR,inductive,97.59036144578313,93.75,96.7741935483871,95.23809523809523,0.9958599275487321,0.9877988725396473,166.8
inductive,2,75,2,2,GCN,transductive,80.32128514056225,56.074766355140184,96.7741935483871,71.00591715976331,0.9749870622735898,0.9508245438787304,165.1
inductive,2,75,2,2,GCN,inductive,77.91164658634538,53.09734513274337,96.7741935483871,68.57142857142857,0.9669656718992583,0.9336898274876009,165.1
inductive,2,75,2,2,GraphSAGE,transductive,100.0,100.0,100.0,100.0,1.0,1.0,165.1
inductive,2,75,2,2,GraphSAGE,inductive,100.0,100.0,100.0,100.0,1.0,1.0,165.1
inductive,2,75,2,2,GAT-LR,transductive,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.997929963774366,0.9923431796004937,165.1
inductive,2,75,2,2,GAT-LR,inductive,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9983612213213731,0.9943758907696544,165.1
inductive,2,75,2,4,GCN,transductive,79.51807228915662,55.35714285714286,98.4126984126984,70.85714285714285,0.988479262672811,0.974318100734595,158.9
inductive,2,75,2,4,GCN,inductive,79.91967871485943,55.96330275229357,96.82539682539682,70.93023255813954,0.9831029185867896,0.9650416650293523,158.9
inductive,2,75,2,4,GraphSAGE,transductive,99.19678714859438,98.4126984126984,98.4126984126984,98.4126984126984,0.9997439836149513,0.9992784992784993,158.9
