experiment,rep,fold,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
sfari,1,0,Majority,79.22077922077922,0.0,0.0,0.0,0.5,0.2077922077922078,71.2
sfari,1,0,Degree,80.51948051948052,60.0,18.75,28.57142857142857,0.7544968123861566,0.49707839760940503,71.2
sfari,1,0,Eigenvector,81.81818181818183,71.42857142857143,20.833333333333336,32.25806451612903,0.7605874316939891,0.47799447931919203,71.2
sfari,1,0,SFARI reports (diagnostic),82.68398268398268,90.0,18.75,31.03448275862069,0.8786999089253188,0.723401489448755,71.2
sfari,1,0,LogReg,75.32467532467533,43.07692307692308,58.333333333333336,49.557522123893804,0.7397540983606556,0.47040441418363704,71.2
sfari,1,0,RandomForest,71.42857142857143,29.545454545454547,27.083333333333332,28.26086956521739,0.6311475409836066,0.29782655394355617,71.2
sfari,1,0,MLP,79.22077922077922,50.0,25.0,33.33333333333333,0.619535519125683,0.4053261955622157,71.2
sfari,1,0,GCN,70.56277056277057,37.5,62.5,46.875,0.7206284153005464,0.4366620549533125,71.2
sfari,1,0,GraphSAGE,77.92207792207793,45.45454545454545,31.25,37.03703703703704,0.7531876138433515,0.47126659132223525,71.2
sfari,1,0,GAT-LR,65.36796536796537,32.22222222222222,60.416666666666664,42.028985507246375,0.6805555555555555,0.32374857600353,71.2
sfari,0,1,Majority,79.56521739130434,0.0,0.0,0.0,0.5,0.20434782608695654,71.2
sfari,0,1,Degree,80.43478260869566,75.0,6.382978723404255,11.76470588235294,0.6748633879781422,0.42214266887788227,71.2
sfari,0,1,Eigenvector,80.8695652173913,71.42857142857143,10.638297872340425,18.51851851851852,0.6848040925473782,0.42994686641768687,71.2
sfari,0,1,SFARI reports (diagnostic),80.0,66.66666666666666,4.25531914893617,8.0,0.8232763632135797,0.6392547982927943,71.2
sfari,0,1,LogReg,73.47826086956522,38.70967741935484,51.06382978723404,44.03669724770643,0.6706196953842576,0.4186021246278083,71.2
sfari,0,1,RandomForest,72.60869565217392,34.61538461538461,38.297872340425535,36.36363636363637,0.5978955935356354,0.34659137012764485,71.2
sfari,0,1,MLP,78.69565217391305,45.0,19.148936170212767,26.865671641791046,0.6153935588885013,0.3721394303822714,71.2
sfari,0,1,GCN,74.78260869565217,42.25352112676056,63.829787234042556,50.847457627118644,0.7278223462388094,0.4414322991251694,71.2
sfari,0,1,GraphSAGE,65.65217391304347,32.608695652173914,63.829787234042556,43.16546762589928,0.6931752121846296,0.40085555138701867,71.2
sfari,0,1,GAT-LR,60.43478260869565,30.701754385964914,74.46808510638297,43.47826086956522,0.6902685734216951,0.3201389134149129,71.2
sfari,0,3,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,71.5
sfari,0,3,Degree,80.8695652173913,75.0,12.5,21.428571428571427,0.7029532967032968,0.4648295196407839,71.5
sfari,0,3,Eigenvector,80.43478260869566,71.42857142857143,10.416666666666668,18.181818181818183,0.7224130036630036,0.4539584473898688,71.5
sfari,0,3,SFARI reports (diagnostic),80.0,100.0,4.166666666666666,8.0,0.8978365384615384,0.8311139029689975,71.5
sfari,0,3,LogReg,72.17391304347827,37.5,50.0,42.857142857142854,0.6990613553113554,0.43648133050218485,71.5
sfari,0,3,RandomForest,70.86956521739131,29.78723404255319,29.166666666666668,29.47368421052631,0.6299221611721612,0.3287697115950017,71.5
sfari,0,3,MLP,79.56521739130434,53.84615384615385,14.583333333333334,22.950819672131146,0.674793956043956,0.4064077350171963,71.5
sfari,0,3,GCN,66.95652173913044,33.33333333333333,58.333333333333336,42.42424242424242,0.7118818681318682,0.42056979902757224,71.5
sfari,0,3,GraphSAGE,59.56521739130435,30.434782608695656,72.91666666666666,42.944785276073624,0.7147435897435898,0.4395396047713312,71.5
sfari,0,3,GAT-LR,78.69565217391305,0.0,0.0,0.0,0.7097069597069597,0.3613786957091106,71.5
sfari,0,2,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,71.6
sfari,0,2,Degree,80.0,75.0,6.25,11.538461538461538,0.6924793956043956,0.4240485921221093,71.6
sfari,0,2,Eigenvector,79.56521739130434,60.0,6.25,11.320754716981133,0.7115384615384616,0.40645972650554707,71.6
sfari,0,2,SFARI reports (diagnostic),84.34782608695653,100.0,25.0,40.0,0.7983058608058607,0.6690459123741955,71.6
sfari,0,2,LogReg,70.0,35.2112676056338,52.083333333333336,42.016806722689076,0.7078754578754578,0.41099746121573955,71.6
sfari,0,2,RandomForest,70.86956521739131,33.33333333333333,39.58333333333333,36.19047619047619,0.6768543956043955,0.36292370613382513,71.6
sfari,0,2,MLP,79.13043478260869,50.0,16.666666666666664,25.0,0.6524725274725275,0.37082107404415987,71.6
sfari,0,2,GCN,68.69565217391305,36.04651162790697,64.58333333333334,46.26865671641791,0.7314560439560439,0.3961217629979147,71.6
sfari,0,2,GraphSAGE,66.95652173913044,35.41666666666667,70.83333333333334,47.22222222222222,0.7454212454212454,0.43574448029191415,71.6
sfari,0,2,GAT-LR,58.69565217391305,29.914529914529915,72.91666666666666,42.42424242424242,0.6948260073260073,0.33643186492135957,71.6
sfari,0,0,Majority,79.22077922077922,0.0,0.0,0.0,0.5,0.2077922077922078,72.2
sfari,0,0,Degree,80.95238095238095,66.66666666666666,16.666666666666664,26.666666666666668,0.6890368852459017,0.39647867598373954,72.2
sfari,0,0,Eigenvector,80.08658008658008,60.0,12.5,20.689655172413794,0.6844262295081966,0.3905368418160257,72.2
sfari,0,0,SFARI reports (diagnostic),80.08658008658008,100.0,4.166666666666666,8.0,0.7882513661202185,0.6828530942715134,72.2
sfari,0,0,LogReg,70.995670995671,34.42622950819672,43.75,38.53211009174312,0.6754326047358834,0.39432508172018377,72.2
sfari,0,0,RandomForest,72.2943722943723,32.608695652173914,31.25,31.914893617021278,0.5939207650273226,0.32224891290666635,72.2
sfari,0,0,MLP,78.35497835497836,45.0,18.75,26.47058823529412,0.6432149362477232,0.39245208391565195,72.2
sfari,0,0,GCN,66.66666666666666,33.33333333333333,60.416666666666664,42.96296296296296,0.7075364298724954,0.41857769448631416,72.2
sfari,0,0,GraphSAGE,64.93506493506493,32.25806451612903,62.5,42.5531914893617,0.7091302367941712,0.41680243430012204,72.2
sfari,0,0,GAT-LR,67.53246753246754,35.78947368421053,70.83333333333334,47.55244755244755,0.7239298724954462,0.36953499098707665,72.2
sfari,0,4,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,74.1
sfari,0,4,Degree,78.26086956521739,41.66666666666667,10.416666666666668,16.666666666666664,0.6265453296703297,0.3672737075471935,74.1
sfari,0,4,Eigenvector,80.8695652173913,60.0,25.0,35.294117647058826,0.65625,0.4162001233965711,74.1
sfari,0,4,SFARI reports (diagnostic),80.8695652173913,100.0,8.333333333333332,15.384615384615385,0.759271978021978,0.5892909952955816,74.1
sfari,0,4,LogReg,64.78260869565217,30.58823529411765,54.166666666666664,39.097744360902254,0.635187728937729,0.39474547472057203,74.1
sfari,0,4,RandomForest,71.73913043478261,32.6530612244898,33.33333333333333,32.98969072164948,0.6124656593406593,0.2852794905801897,74.1
sfari,0,4,MLP,75.65217391304347,35.714285714285715,20.833333333333336,26.31578947368421,0.6032509157509158,0.3032293977116267,74.1
sfari,0,4,GCN,64.34782608695652,33.0,68.75,44.5945945945946,0.6937957875457875,0.4000122299186176,74.1
sfari,0,4,GraphSAGE,62.60869565217392,31.372549019607842,66.66666666666666,42.66666666666667,0.674908424908425,0.3932627332332088,74.1
sfari,0,4,GAT-LR,69.56521739130434,35.8974358974359,58.333333333333336,44.44444444444444,0.7015796703296703,0.41303918189169747,74.1
sfari,1,1,Majority,79.56521739130434,0.0,0.0,0.0,0.5,0.20434782608695654,74.6
sfari,1,1,Degree,81.30434782608695,64.28571428571429,19.148936170212767,29.508196721311474,0.6838158353679803,0.4412752577145447,74.6
sfari,1,1,Eigenvector,80.43478260869566,62.5,10.638297872340425,18.181818181818183,0.6760841762585744,0.4266401427735427,74.6
sfari,1,1,SFARI reports (diagnostic),82.17391304347827,100.0,12.76595744680851,22.641509433962266,0.8191489361702128,0.7081700034535838,74.6
sfari,1,1,LogReg,70.0,34.72222222222222,53.191489361702125,42.016806722689076,0.6720148819904662,0.429536503683745,74.6
sfari,1,1,RandomForest,71.30434782608695,31.372549019607842,34.04255319148936,32.6530612244898,0.6254505290082548,0.3451539974346146,74.6
sfari,1,1,MLP,81.30434782608695,70.0,14.893617021276595,24.561403508771928,0.6558539704685501,0.39825082638126497,74.6
sfari,1,1,GCN,55.21739130434783,28.78787878787879,80.85106382978722,42.45810055865922,0.7200325543541448,0.44345339638713843,74.6
sfari,1,1,GraphSAGE,63.47826086956522,33.02752293577982,76.59574468085107,46.15384615384615,0.7431693989071039,0.4897031885287252,74.6
sfari,1,1,GAT-LR,62.17391304347826,30.0,63.829787234042556,40.816326530612244,0.6385304034414603,0.35161390468191667,74.6
sfari,1,4,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,66.4
