experiment,T,pctl,rep,fold,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
skip,2,75,0,0,GAT-LR+skip,99.59839357429718,98.4126984126984,100.0,99.2,1.0,0.9999999999999999,48.1
skip,2,75,0,2,GAT-LR+skip,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9988787303777816,0.9966282427106226,48.7
skip,2,75,0,1,GAT-LR+skip,98.39357429718876,93.93939393939394,100.0,96.875,0.9998274969811971,0.9994838379333697,49.6
skip,2,75,0,3,GAT-LR+skip,97.59036144578313,95.16129032258065,95.16129032258065,95.16129032258065,0.998533724340176,0.9956586161468988,48.8
skip,2,75,0,4,GAT-LR+skip,98.79518072289156,98.38709677419355,96.82539682539682,97.6,0.9994026284348865,0.9983368347338937,49.2
skip,2,75,1,0,GAT-LR+skip,99.59839357429718,98.4126984126984,100.0,99.2,0.9999137484905986,0.9997439836149513,49.1
skip,2,75,1,1,GAT-LR+skip,96.78714859437751,93.54838709677419,93.54838709677419,93.54838709677419,0.9970674486803519,0.9915804475644558,50.2
skip,2,75,1,3,GAT-LR+skip,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.9981024667931688,0.9939512949406119,49.6
skip,2,75,1,2,GAT-LR+skip,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.999568742452993,0.9987310270800828,50.0
skip,2,75,1,4,GAT-LR+skip,99.59839357429718,100.0,98.4126984126984,99.2,1.0,1.0,50.3
skip,2,75,2,0,GAT-LR+skip,99.19678714859438,96.875,100.0,98.4126984126984,1.0,0.9999999999999999,49.9
skip,2,75,2,1,GAT-LR+skip,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9988787303777816,0.9966650304459335,49.3
skip,2,75,2,2,GAT-LR+skip,100.0,100.0,100.0,100.0,1.0,1.0,49.6
skip,2,75,2,3,GAT-LR+skip,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9995687424529929,0.9987195246069518,48.6
skip,2,75,3,0,GAT-LR+skip,98.39357429718876,93.93939393939394,100.0,96.875,0.997929963774366,0.9935720442696069,48.0
skip,2,75,2,4,GAT-LR+skip,99.19678714859438,96.92307692307692,100.0,98.4375,1.0,1.0,48.4
skip,2,75,3,1,GAT-LR+skip,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9994824909435915,0.9984791399915671,48.2
skip,2,75,3,2,GAT-LR+skip,98.79518072289156,98.36065573770492,96.7741935483871,97.5609756097561,0.9993099879247888,0.997977222554166,48.1
skip,2,75,3,3,GAT-LR+skip,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9990512333965844,0.9969882094740805,48.8
skip,2,75,3,4,GAT-LR+skip,98.39357429718876,94.02985074626866,100.0,96.92307692307692,0.9988905956647892,0.9967814427635856,48.0
skip,2,75,4,0,GAT-LR+skip,96.78714859437751,89.70588235294117,98.38709677419355,93.84615384615384,0.9984474728307745,0.9955534984313172,44.3
skip,2,75,4,2,GAT-LR+skip,99.19678714859438,96.875,100.0,98.4126984126984,0.9990512333965844,0.9969882094740807,43.4
skip,2,75,4,1,GAT-LR+skip,99.59839357429718,100.0,98.38709677419355,99.1869918699187,1.0,0.9999999999999999,44.0
skip,2,75,4,3,GAT-LR+skip,99.59839357429718,98.4126984126984,100.0,99.2,1.0,1.0,43.9
skip,2,75,4,4,GAT-LR+skip,98.79518072289156,95.45454545454545,100.0,97.67441860465115,0.9995733060249189,0.9987705302605455,41.4
