experiment,T,pctl,rep,fold,test_positive_rate,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
threshold,2,50,0,0,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,101.6
threshold,2,50,0,0,0.4979919678714859,Degree,52.610441767068274,100.0,4.838709677419355,9.230769230769232,0.9901935483870967,0.988768961188907,101.6
threshold,2,50,0,0,0.4979919678714859,Eigenvector,52.610441767068274,100.0,4.838709677419355,9.230769230769232,0.9953548387096774,0.9950533073168241,101.6
threshold,2,50,0,0,0.4979919678714859,LogReg,96.78714859437751,98.33333333333333,95.16129032258065,96.72131147540983,0.9974838709677419,0.9975446328725879,101.6
threshold,2,50,0,0,0.4979919678714859,RandomForest,97.18875502008032,96.8,97.58064516129032,97.18875502008032,0.9976451612903225,0.9975866885977742,101.6
threshold,2,50,0,0,0.4979919678714859,MLP,97.59036144578313,98.36065573770492,96.7741935483871,97.5609756097561,0.9980645161290322,0.9980699799535816,101.6
threshold,2,50,0,0,0.4979919678714859,GCN,89.1566265060241,87.02290076335878,91.93548387096774,89.41176470588236,0.968,0.9676380253805864,101.6
threshold,2,50,0,0,0.4979919678714859,GraphSAGE,98.79518072289156,99.1869918699187,98.38709677419355,98.78542510121457,0.9996774193548387,0.9996804673609347,101.6
threshold,2,50,0,0,0.4979919678714859,GAT-LR,96.3855421686747,97.52066115702479,95.16129032258065,96.3265306122449,0.9883870967741936,0.9809010667566805,101.6
threshold,2,50,0,1,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,107.0
threshold,2,50,0,1,0.4979919678714859,Degree,53.41365461847389,100.0,6.451612903225806,12.121212121212121,0.9870967741935484,0.9869842598473033,107.0
threshold,2,50,0,1,0.4979919678714859,Eigenvector,53.01204819277109,100.0,5.64516129032258,10.687022900763358,0.9967096774193549,0.9967090563319986,107.0
threshold,2,50,0,1,0.4979919678714859,LogReg,97.99196787148594,97.6,98.38709677419355,97.99196787148594,0.9986451612903225,0.9985909764690915,107.0
threshold,2,50,0,1,0.4979919678714859,RandomForest,98.39357429718876,96.875,100.0,98.4126984126984,0.9936774193548387,0.9877529252504158,107.0
threshold,2,50,0,1,0.4979919678714859,MLP,98.39357429718876,98.38709677419355,98.38709677419355,98.38709677419355,0.9986451612903225,0.9985980734787365,107.0
threshold,2,50,0,1,0.4979919678714859,GCN,91.16465863453816,86.95652173913044,96.7741935483871,91.6030534351145,0.9889677419354839,0.9903077070326534,107.0
threshold,2,50,0,1,0.4979919678714859,GraphSAGE,97.99196787148594,97.6,98.38709677419355,97.99196787148594,0.9990967741935484,0.9991053257146837,107.0
threshold,2,50,0,1,0.4979919678714859,GAT-LR,81.52610441767068,72.94117647058823,100.0,84.35374149659864,0.9163870967741936,0.8835796976457568,107.0
threshold,2,50,0,2,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,106.5
threshold,2,50,0,2,0.4979919678714859,Degree,51.00401606425703,100.0,1.6129032258064515,3.1746031746031744,0.9785806451612904,0.9781180296976911,106.5
threshold,2,50,0,2,0.4979919678714859,Eigenvector,53.81526104417671,100.0,7.258064516129033,13.533834586466165,0.9970322580645161,0.997006413332841,106.5
threshold,2,50,0,2,0.4979919678714859,LogReg,96.3855421686747,96.0,96.7741935483871,96.3855421686747,0.9973548387096774,0.9974809395414194,106.5
threshold,2,50,0,2,0.4979919678714859,RandomForest,97.18875502008032,96.8,97.58064516129032,97.18875502008032,0.9968064516129032,0.9966553283607043,106.5
threshold,2,50,0,2,0.4979919678714859,MLP,97.18875502008032,97.5609756097561,96.7741935483871,97.16599190283401,0.9974193548387097,0.997525644090358,106.5
threshold,2,50,0,2,0.4979919678714859,GCN,93.17269076305222,90.83969465648855,95.96774193548387,93.33333333333333,0.9847741935483871,0.9854021320087739,106.5
threshold,2,50,0,2,0.4979919678714859,GraphSAGE,98.39357429718876,98.38709677419355,98.38709677419355,98.38709677419355,0.9990322580645161,0.9990515682176327,106.5
threshold,2,50,0,2,0.4979919678714859,GAT-LR,96.78714859437751,99.15254237288136,94.35483870967742,96.69421487603306,0.986516129032258,0.9880925768165751,106.5
threshold,2,50,0,4,0.5020080321285141,Majority,49.79919678714859,0.0,0.0,0.0,0.5,0.5020080321285141,103.2
threshold,2,50,0,4,0.5020080321285141,Degree,57.42971887550201,100.0,15.2,26.38888888888889,0.9851290322580645,0.9847499163133411,103.2
threshold,2,50,0,4,0.5020080321285141,Eigenvector,55.42168674698795,100.0,11.200000000000001,20.14388489208633,0.9907096774193548,0.9908717451150996,103.2
threshold,2,50,0,4,0.5020080321285141,LogReg,97.99196787148594,97.61904761904762,98.4,98.00796812749005,0.9985161290322581,0.998516757734777,103.2
threshold,2,50,0,4,0.5020080321285141,RandomForest,95.98393574297188,97.52066115702479,94.39999999999999,95.9349593495935,0.9968387096774194,0.9969095074685761,103.2
threshold,2,50,0,4,0.5020080321285141,MLP,97.99196787148594,97.61904761904762,98.4,98.00796812749005,0.9990967741935484,0.9991043379257427,103.2
threshold,2,50,0,4,0.5020080321285141,GCN,84.73895582329317,80.85106382978722,91.2,85.71428571428571,0.9641290322580645,0.9717539473434199,103.2
threshold,2,50,0,4,0.5020080321285141,GraphSAGE,97.59036144578313,99.17355371900827,96.0,97.5609756097561,0.9990967741935484,0.9991066998845228,103.2
