experiment,rep,fold,model,choice,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
tuning,0,0,GAT-LR,"(0.005, 16, 4, 0.2, 300)",98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9981024667931688,0.9935439829821014,694.8
tuning,0,0,GraphSAGE,"(0.05, 8, 4, 0.2, 300)",99.59839357429718,98.4126984126984,100.0,99.2,1.0,1.0,694.8
tuning,0,0,MLP,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",99.19678714859438,98.38709677419355,98.38709677419355,98.38709677419355,0.9999137484905986,0.9997439836149513,694.8
tuning,0,0,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",99.19678714859438,96.875,100.0,98.4126984126984,1.0,1.0,694.8
tuning,0,0,LogReg,{'C': 1.0},98.39357429718876,93.93939393939394,100.0,96.875,0.9995687424529929,0.998762337211869,694.8
tuning,0,0,Degree,none,79.11646586345381,100.0,16.129032258064516,27.77777777777778,0.9977143350008625,0.9931371662942924,694.8
tuning,1,0,GAT-LR,"(0.01, 8, 4, 0.2, 300)",95.58232931726907,88.05970149253731,95.16129032258065,91.47286821705426,0.994997412454718,0.9850635378635542,696.1
tuning,1,0,GraphSAGE,"(0.01, 8, 4, 0.2, 300)",100.0,100.0,100.0,100.0,1.0,1.0,696.1
tuning,1,0,MLP,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",99.19678714859438,100.0,96.7741935483871,98.36065573770492,0.9996549939623943,0.9990224828934506,696.1
tuning,1,0,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 5}",99.59839357429718,100.0,98.38709677419355,99.1869918699187,0.9994824909435915,0.9985768500948766,696.1
tuning,1,0,LogReg,{'C': 1.0},98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9997412454717957,0.9992358220603537,696.1
tuning,1,0,Degree,none,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9968949456615491,0.9904401066880258,696.1
tuning,1,1,GAT-LR,"(0.05, 8, 4, 0.2, 300)",97.59036144578313,95.16129032258065,95.16129032258065,95.16129032258065,0.9975849577367604,0.9926068190930201,696.5
tuning,1,1,GraphSAGE,"(0.01, 8, 4, 0.2, 300)",97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.996894945661549,0.9912179034834696,696.5
tuning,1,1,MLP,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",97.59036144578313,95.16129032258065,95.16129032258065,95.16129032258065,0.9974124547179576,0.9922263152060524,696.5
