model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
Majority,0,0,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,0,0,79.11646586345381,100.0,16.129032258064516,27.77777777777778,0.9977143350008625,0.9931371662942924
Centrality:BETWEENNESS,0,0,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9196135932378816,0.8041876766028715
Centrality:CLOSENESS,0,0,40.963855421686745,29.665071770334926,100.0,45.75645756457565,0.9836122132137312,0.9555915837693891
Centrality:EIGENVECTOR,0,0,85.54216867469879,100.0,41.935483870967744,59.09090909090909,0.994997412454718,0.9850109928365052
Centrality:CLUSTERING,0,0,63.45381526104418,10.81081081081081,6.451612903225806,8.080808080808081,0.46437812661721584,0.2156854351295032
RWR,0,0,79.51807228915662,100.0,17.741935483870968,30.136986301369863,0.9809384164222874,0.9499393879636202
LogReg,0,0,98.39357429718876,93.93939393939394,100.0,96.875,0.9995687424529929,0.998762337211869
RandomForest,0,0,99.19678714859438,96.875,100.0,98.4126984126984,1.0,1.0
GradBoost,0,0,98.79518072289156,98.36065573770492,96.7741935483871,97.5609756097561,0.9997412454717957,0.9992358220603537
MLP,0,0,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9996549939623943,0.9990224828934506
GCN,0,0,87.14859437751004,66.30434782608695,98.38709677419355,79.22077922077922,0.9813696739692945,0.9524603579015364
GraphSAGE,0,0,100.0,100.0,100.0,100.0,1.0,1.0
GAT-LR,0,0,97.18875502008032,91.04477611940298,98.38709677419355,94.57364341085271,0.9827496981197171,0.8909305873685472
Majority,0,1,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,0,1,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.9949111609453165,0.9828841647243829
Centrality:BETWEENNESS,0,1,75.90361445783132,100.0,3.225806451612903,6.25,0.9159910298430223,0.7910688543968871
Centrality:CLOSENESS,0,1,56.62650602409639,36.470588235294116,100.0,53.44827586206896,0.9784802484043471,0.9428083493764983
Centrality:EIGENVECTOR,0,1,79.51807228915662,100.0,17.741935483870968,30.136986301369863,0.9961186820769363,0.9887288803221744
Centrality:CLUSTERING,0,1,65.86345381526104,4.0,1.6129032258064515,2.2988505747126435,0.5826289460065551,0.2623825364443891
RWR,0,1,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9799033983094705,0.9468137086304284
LogReg,0,1,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9996549939623943,0.9989839349718381
RandomForest,0,1,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9991374849059858,0.9975070649199796
GradBoost,0,1,97.59036144578313,93.75,96.7741935483871,95.23809523809523,0.9987924788683803,0.996443180560647
MLP,0,1,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.999568742452993,0.9987435503564535
GCN,0,1,83.93574297188755,61.0,98.38709677419355,75.30864197530865,0.9861135069863722,0.9666034846302802
GraphSAGE,0,1,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9990512333965844,0.9969882094740806
GAT-LR,0,1,73.09236947791165,48.06201550387597,100.0,64.92146596858639,0.9371226496463687,0.8230244091987327
Majority,0,2,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,0,2,81.12449799196787,100.0,24.193548387096776,38.961038961038966,0.9981024667931688,0.9938695258831767
Centrality:BETWEENNESS,0,2,75.50200803212851,66.66666666666666,3.225806451612903,6.153846153846154,0.9147835087114025,0.7571208545806553
Centrality:CLOSENESS,0,2,43.373493975903614,30.541871921182267,100.0,46.79245283018868,0.9818009315163015,0.9515412235925388
Centrality:EIGENVECTOR,0,2,79.91967871485943,100.0,19.35483870967742,32.432432432432435,0.9946524064171123,0.9837818743051484
Centrality:CLUSTERING,0,2,66.26506024096386,13.333333333333334,6.451612903225806,8.695652173913043,0.5338968431947559,0.2404229770478344
RWR,0,2,79.51807228915662,100.0,17.741935483870968,30.136986301369863,0.9863722615145765,0.9606612140289778
LogReg,0,2,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9991374849059859,0.9974370527438869
RandomForest,0,2,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9995687424529929,0.9987195246069519
GradBoost,0,2,97.99196787148594,96.72131147540983,95.16129032258065,95.9349593495935,0.9986631016042781,0.995940135924998
MLP,0,2,98.39357429718876,96.7741935483871,96.7741935483871,96.7741935483871,0.9994824909435914,0.9984507074026507
GCN,0,2,89.95983935742971,72.8395061728395,95.16129032258065,82.51748251748252,0.9842159737795411,0.959883237358132
