,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,pr_auc,pr_auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,
Centrality:BETWEENNESS,75.8715,0.6235,94.3333,13.7605,3.6651,2.3372,6.9637,4.2574,0.911,0.0224,0.7875,0.0451
Centrality:CLOSENESS,56.5141,10.9129,37.5721,7.3583,100.0,0.0,54.2535,7.1941,0.9799,0.0075,0.9478,0.0185
Centrality:CLUSTERING,66.1847,1.5769,9.938,3.7763,4.4977,2.0166,6.149,2.5808,0.5296,0.0456,0.2426,0.0194
Centrality:DEGREE,78.2169,2.1133,100.0,0.0,12.807,8.3518,21.865,11.8725,0.996,0.0015,0.9875,0.0045
Centrality:EIGENVECTOR,79.0843,2.1026,100.0,0.0,16.2806,8.3028,27.2393,11.1724,0.9933,0.0033,0.98,0.0099
GAT-LR,96.1928,4.9705,90.875,9.7302,96.6575,4.3853,93.2449,6.3903,0.9899,0.0121,0.9604,0.0414
GCN,82.9398,5.4969,60.836,8.1015,96.0174,3.9278,74.2084,6.5205,0.9691,0.0243,0.9309,0.0515
GradBoost,98.249,0.7041,96.8338,2.3856,96.2038,2.2223,96.4843,1.4103,0.9989,0.0007,0.9967,0.0021
GraphSAGE,98.9558,0.844,96.7121,3.0274,99.2954,1.1379,97.9592,1.6266,0.9994,0.0012,0.9981,0.0037
LogReg,97.9759,0.9309,93.0658,3.163,99.4224,0.786,96.1105,1.7278,0.999,0.0009,0.997,0.0027
MLP,98.2972,0.6484,96.7912,2.5525,96.4639,1.8519,96.594,1.2733,0.9989,0.0008,0.9969,0.0025
Majority,75.0201,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2498,0.0016
RWR,78.3454,2.7261,100.0,0.0,13.3262,10.8001,22.1862,14.6533,0.98,0.0045,0.9472,0.0122
RandomForest,98.2008,1.0048,95.4915,3.0501,97.4921,2.1318,96.4496,1.9678,0.9989,0.0009,0.9968,0.0025
