gene,ic,label,degree,score_LogReg,score_RandomForest,score_GradBoost,score_MLP,score_GCN,score_GraphSAGE,score_GAT-LR,sfari_score,eagle,syndromic
BRAF,0.1572449799196787,1,102,0.9999999999653486,1.0,0.9996230262535133,0.9999999519744509,0.9312679320573807,1.0000000149011612,0.9945657402276993,1.0,13.05,1.0
H2BC11,0.1288192771084337,1,90,0.999999999739301,0.9989999999999999,0.9995242744081698,0.9999999234442152,0.945732370018959,1.0000000149011612,0.9944330006837845,2.0,,0.0
TAF1,0.1146746987951807,1,79,0.9999999482104074,1.0,0.9996095203290158,0.999995913969308,0.8791862726211548,0.9916274845600128,0.9915060698986053,,,1.0
NRXN2,0.1107791164658634,1,83,0.9999993456009244,1.0,0.999526319358601,0.9999944269762389,0.9241635352373123,0.9904942512512207,0.9910617023706436,1.0,7.0,0.0
SMARCA4,0.1787550200803213,1,127,0.9999999999999994,1.0,0.9994576657552868,0.9999999999765049,0.9589359611272812,1.0000000149011612,0.9900664389133453,1.0,,0.0
YWHAG,0.079285140562249,1,46,0.99561943064041,0.9984999999999999,0.999606259550867,0.9988704487559563,0.8675453811883926,0.9856230318546295,0.9869332909584045,3.0,,1.0
NLGN2,0.1072369477911646,1,62,0.999983165916474,1.0,0.9995710583647683,0.9999544439458011,0.9702736735343933,0.9890902191400528,0.9842171519994736,1.0,3.0,0.0
KAT2B,0.1257429718875502,1,84,0.9999999978555987,1.0,0.9995157133353326,0.9999997033890995,0.9077816903591156,0.9930313527584076,0.9827267080545425,2.0,,0.0
GRIN1,0.1176787148594377,1,83,0.999999668947921,1.0,0.9996224582892165,0.9999907421613513,0.9168847650289536,0.9981992989778519,0.9824799001216888,1.0,,0.0
IKZF1,0.0880562248995984,1,47,0.9988863013967517,1.0,0.9993741099875553,0.9995275008347422,0.8064051568508148,0.9999957531690598,0.9824508875608444,3.0,,0.0
KDM2A,0.0829718875502008,1,47,0.9996387891683549,0.9655,0.9993719259936824,0.9982326223016829,0.9576143026351929,0.9882271885871887,0.9799741059541702,3.0,,0.0
KDM4B,0.0759759036144578,1,40,0.9977512286859602,0.9704999999999999,0.9995422812514854,0.9977330583456783,0.868793785572052,0.9997929781675339,0.978872686624527,2.0,,0.0
GRIA2,0.1434618473895582,1,111,0.9999999999291173,1.0,0.9995310687270084,0.9999999671869617,0.8757813274860382,1.0000000149011612,0.978630781173706,1.0,12.0,0.0
BCL11B,0.0841285140562249,1,50,0.998716078106533,1.0,0.9995512273773496,0.9992904249435958,0.8265811204910278,0.9863249063491821,0.9778950959444046,3.0,,0.0
SMC1A,0.0866024096385542,1,53,0.9997843466379857,0.9989999999999999,0.9995495762229272,0.9997781533766213,0.8033886253833771,0.9875576198101044,0.977263942360878,,,1.0
AGO1,0.0907630522088353,1,56,0.9999528848781254,1.0,0.9995934719937137,0.9999089291543695,0.8785423636436462,0.9963304102420807,0.9770400077104568,2.0,,0.0
GRIA3,0.0802650602409638,1,52,0.9917961715359703,0.9970000000000001,0.9994225343011782,0.9968349671605437,0.9173117727041245,0.9999472796916962,0.9754178822040558,,,1.0
MAP1B,0.081293172690763,1,40,0.9724397487984446,0.9989999999999999,0.9994706242259552,0.9970300555232285,0.7879384756088257,0.9688924849033356,0.9739628583192825,2.0,,0.0
AR,0.142867469879518,1,82,0.9999999983983564,1.0,0.9994942544139224,0.9999999392609091,0.917198657989502,1.0000000149011612,0.9736645519733429,2.0,,0.0
