comparison,metric,gat_mean,other_mean,delta,wilcoxon_stat,p_value
GAT-LR vs Majority,accuracy,96.19277108433737,75.02008032128515,21.172690763052216,1.0,1.3626266952881209e-05
GAT-LR vs Majority,f1,93.24485051562016,0.0,93.24485051562016,0.0,1.2256936021619928e-05
GAT-LR vs Majority,roc_auc,0.9898502144422449,0.5,0.48985021444224486,0.0,5.960464477539063e-08
GAT-LR vs Majority,pr_auc,0.9603612997478276,0.24979919678714857,0.710562102960679,0.0,5.960464477539063e-08
GAT-LR vs Centrality:DEGREE,accuracy,96.19277108433737,78.21686746987952,17.97590361445785,1.0,1.37739587714537e-05
GAT-LR vs Centrality:DEGREE,f1,93.24485051562016,21.86498015045879,71.37987036516137,0.0,5.960464477539063e-08
GAT-LR vs Centrality:DEGREE,roc_auc,0.9898502144422449,0.996006409080413,-0.006156194638168189,43.0,0.0007149577140808105
GAT-LR vs Centrality:DEGREE,pr_auc,0.9603612997478276,0.9874981936235304,-0.02713689387570284,52.0,0.002025127410888672
GAT-LR vs Centrality:BETWEENNESS,accuracy,96.19277108433737,75.8714859437751,20.321285140562267,1.0,1.3504163802902308e-05
GAT-LR vs Centrality:BETWEENNESS,f1,93.24485051562016,6.963707998685286,86.28114251693488,0.0,1.2279185361336645e-05
GAT-LR vs Centrality:BETWEENNESS,roc_auc,0.9898502144422449,0.9109755000077581,0.07887471443448679,0.0,5.960464477539063e-08
GAT-LR vs Centrality:BETWEENNESS,pr_auc,0.9603612997478276,0.7875386876823027,0.17282261206552485,0.0,5.960464477539063e-08
GAT-LR vs Centrality:CLOSENESS,accuracy,96.19277108433737,56.514056224899605,39.67871485943776,0.0,5.960464477539063e-08
GAT-LR vs Centrality:CLOSENESS,f1,93.24485051562016,54.25350419835092,38.99134631726924,0.0,5.960464477539063e-08
GAT-LR vs Centrality:CLOSENESS,roc_auc,0.9898502144422449,0.9799198180412602,0.009930396400984698,33.0,0.00018787384033203125
GAT-LR vs Centrality:CLOSENESS,pr_auc,0.9603612997478276,0.9477906511208264,0.01257064862700119,100.0,0.09573346376419067
GAT-LR vs Centrality:EIGENVECTOR,accuracy,96.19277108433737,79.08433734939759,17.10843373493978,1.0,1.3761602273223812e-05
GAT-LR vs Centrality:EIGENVECTOR,f1,93.24485051562016,27.239301372706922,66.00554914291324,0.0,5.960464477539063e-08
GAT-LR vs Centrality:EIGENVECTOR,roc_auc,0.9898502144422449,0.9932545843361783,-0.0034043698939334455,134.0,0.457846462726593
GAT-LR vs Centrality:EIGENVECTOR,pr_auc,0.9603612997478276,0.9800055982640136,-0.019644298516185987,104.0,0.11993378400802612
GAT-LR vs Centrality:CLUSTERING,accuracy,96.19277108433737,66.18473895582329,30.008032128514074,0.0,1.220145455994324e-05
GAT-LR vs Centrality:CLUSTERING,f1,93.24485051562016,6.148987117688351,87.09586339793181,0.0,1.2279185361336645e-05
GAT-LR vs Centrality:CLUSTERING,roc_auc,0.9898502144422449,0.5295626272666121,0.4602875871756328,0.0,5.960464477539063e-08
GAT-LR vs Centrality:CLUSTERING,pr_auc,0.9603612997478276,0.2425704872590354,0.7177908124887922,0.0,5.960464477539063e-08
GAT-LR vs RWR,accuracy,96.19277108433737,78.34538152610442,17.847389558232948,1.0,1.386070375650438e-05
GAT-LR vs RWR,f1,93.24485051562016,22.186200827935274,71.05864968768489,0.0,1.2279185361336645e-05
GAT-LR vs RWR,roc_auc,0.9898502144422449,0.9799645684275666,0.009885646014678229,28.0,0.00029557982231802284
GAT-LR vs RWR,pr_auc,0.9603612997478276,0.9472279868279588,0.013133312919868745,95.0,0.0709836483001709
GAT-LR vs LogReg,accuracy,96.19277108433737,97.97590361445782,-1.7831325301204544,32.5,0.003866979508061352
GAT-LR vs LogReg,f1,93.24485051562016,96.11052914283,-2.865678627209846,48.0,0.0035650346308531587
GAT-LR vs LogReg,roc_auc,0.9898502144422449,0.9990079524804382,-0.009157738038193308,1.0,1.3885568373058784e-05
GAT-LR vs LogReg,pr_auc,0.9603612997478276,0.9970478960893965,-0.0366865963415689,1.0,1.1920928955078125e-07
GAT-LR vs RandomForest,accuracy,96.19277108433737,98.20080321285138,-2.0080321285140172,40.5,0.0030004740949255634
GAT-LR vs RandomForest,f1,93.24485051562016,96.44955141911403,-3.2047009034938725,49.0,0.0039052650736518353
GAT-LR vs RandomForest,roc_auc,0.9898502144422449,0.9988793236421319,-0.009029109199887086,1.0,1.3885568373058784e-05
GAT-LR vs RandomForest,pr_auc,0.9603612997478276,0.9968484338595739,-0.03648713411174631,1.0,1.1920928955078125e-07
GAT-LR vs GradBoost,accuracy,96.19277108433737,98.24899598393573,-2.0562248995983623,26.5,0.0006867822235403939
GAT-LR vs GradBoost,f1,93.24485051562016,96.4843029219087,-3.2394524062885353,36.0,0.0011247390291360608
GAT-LR vs GradBoost,roc_auc,0.9898502144422449,0.9988527180178033,-0.00900250357555843,1.0,1.3885568373058784e-05
GAT-LR vs GradBoost,pr_auc,0.9603612997478276,0.9966968317049415,-0.03633553195711392,1.0,1.1920928955078125e-07
GAT-LR vs MLP,accuracy,96.19277108433737,98.29718875502009,-2.1044176706827216,5.5,0.00012905311861234703
GAT-LR vs MLP,f1,93.24485051562016,96.5939805151725,-3.3491299995523462,26.0,6.365776062011719e-05
GAT-LR vs MLP,roc_auc,0.9898502144422449,0.9989426203847455,-0.009092405942500603,1.0,1.1920928955078125e-07
GAT-LR vs MLP,pr_auc,0.9603612997478276,0.9969216134383059,-0.0365603136904783,1.0,1.1920928955078125e-07
GAT-LR vs GCN,accuracy,96.19277108433737,82.93975903614457,13.2530120481928,10.0,4.066378382846042e-05
GAT-LR vs GCN,f1,93.24485051562016,74.20836801190428,19.036482503715874,2.0,1.7881393432617188e-07
GAT-LR vs GCN,roc_auc,0.9898502144422449,0.9690803763669039,0.02076983807534094,32.0,0.00044556722375862893
GAT-LR vs GCN,pr_auc,0.9603612997478276,0.9308565970316267,0.02950470271620087,76.0,0.018744707107543945
GAT-LR vs GraphSAGE,accuracy,96.19277108433737,98.95582329317268,-2.763052208835319,0.0,1.801904781332759e-05
GAT-LR vs GraphSAGE,f1,93.24485051562016,97.95916965500595,-4.714319139385793,0.0,5.960464477539063e-08
GAT-LR vs GraphSAGE,roc_auc,0.9898502144422449,0.9993620308990327,-0.009511816456787892,0.0,1.821529714896801e-05
GAT-LR vs GraphSAGE,pr_auc,0.9603612997478276,0.9980795804052909,-0.0377182806574633,0.0,5.960464477539063e-08
